"","p1_depth","p2_depth","result","time","0","1","2","3","4","5","6","7","8","9"
0,1,1,"x",0.0005936559999999425,"         ","    x    ","o   x    ","o x x    ","o x x   o","o x x x o","","","",""
1,1,1,"o",0.0006081630000001059,"         ","    x    ","    x o  ","  x x o  ","o x x o  ","o x x o x","o xox o x","","",""
2,1,1,"o",0.0005839119999999642,"         ","    x    ","    x o  ","x   x o  ","x   x o o","x x x o o","x x x ooo","","",""
3,1,1,"x",0.000670769000000071,"         ","    x    ","    x   o","    x x o","o   x x o","o x x x o","","","",""
4,1,1,"x",0.0006405780000000583,"         ","    x    ","  o x    ","x o x    ","x o x o  ","x o x o x","","","",""
5,1,1,"x",0.0005368390000000112,"         ","    x    ","  o x    ","x o x    ","x o x o  ","x o x o x","","","",""
6,1,1,"o",0.0005864259999999177,"         ","    x    ","    x o  ","  x x o  ","o x x o  ","o x x o x","o xox o x","","",""
7,1,1,"o",0.0005773740000001304,"         ","    x    ","    x o  ","  x x o  ","  x x o o","x x x o o","x x x ooo","","",""
8,1,1,"x",0.0005117599999999722,"         ","    x    ","  o x    ","x o x    ","x o x o  ","x o x o x","","","",""
9,1,1,"o",0.0005598589999999959,"         ","    x    ","    x o  ","x   x o  ","x   x o o","x x x o o","x x x ooo","","",""
10,1,1,"x",0.0005765759999998288,"         ","    x    ","    x o  ","    x o x","  o x o x","x o x o x","","","",""
11,1,1,"o",0.0005785709999999167,"         ","    x    ","o   x    ","o   x   x","o   x o x","o x x o x","o xox o x","","",""
12,1,1,"o",0.0006578360000000227,"         ","    x    ","    x o  ","    x o x","o   x o x","o x x o x","o xox o x","","",""
13,1,1,"x",0.0005566710000000086,"         ","    x    ","    x   o","  x x   o","o x x   o","o x x x o","","","",""
14,1,1,"o",0.0005820149999999913,"         ","    x    ","    x o  ","  x x o  ","  x x o o","x x x o o","x x x ooo","","",""
15,1,2,"o",0.001624260000000044,"         ","    x    ","    x   o","    x x o","  o x x o","x o x x o","x o xox o","","",""
16,1,2,"o",0.001605837999999915,"         ","    x    ","    x   o","x   x   o","x   x o o","x x x o o","x x x ooo","","",""
17,1,2,"o",0.0015540579999999693,"         ","    x    ","  o x    ","  o x x  ","o o x x  ","o o x x x","ooo x x x","","",""
18,1,2,"o",0.0016460570000000896,"         ","    x    ","    x o  ","  x x o  ","o x x o  ","o x x o x","o xox o x","","",""
