true_label,predicted_label,value,train_len,test_len,time
Iris-setosa,Iris-setosa,45,15,135,0.547016599
Iris-versicolor,Iris-versicolor,44,15,135,0.547016599
Iris-virginica,Iris-versicolor,9,15,135,0.547016599
Iris-virginica,Iris-virginica,37,15,135,0.547016599
Iris-setosa,Iris-setosa,37,30,120,0.45462428999999993
Iris-versicolor,Iris-versicolor,40,30,120,0.45462428999999993
Iris-versicolor,Iris-virginica,2,30,120,0.45462428999999993
Iris-virginica,Iris-versicolor,3,30,120,0.45462428999999993
Iris-virginica,Iris-virginica,38,30,120,0.45462428999999993
Iris-setosa,Iris-setosa,36,45,105,0.3982262900000002
Iris-versicolor,Iris-versicolor,31,45,105,0.3982262900000002
Iris-versicolor,Iris-virginica,1,45,105,0.3982262900000002
Iris-virginica,Iris-versicolor,5,45,105,0.3982262900000002
Iris-virginica,Iris-virginica,32,45,105,0.3982262900000002
Iris-setosa,Iris-setosa,32,60,90,0.3429974060000003
Iris-versicolor,Iris-versicolor,28,60,90,0.3429974060000003
Iris-versicolor,Iris-virginica,1,60,90,0.3429974060000003
Iris-virginica,Iris-versicolor,4,60,90,0.3429974060000003
Iris-virginica,Iris-virginica,25,60,90,0.3429974060000003
Iris-setosa,Iris-setosa,27,75,75,0.2882596029999993
Iris-versicolor,Iris-versicolor,25,75,75,0.2882596029999993
Iris-versicolor,Iris-virginica,1,75,75,0.2882596029999993
Iris-virginica,Iris-versicolor,2,75,75,0.2882596029999993
Iris-virginica,Iris-virginica,20,75,75,0.2882596029999993
Iris-setosa,Iris-setosa,21,90,60,0.23431461500000061
Iris-versicolor,Iris-versicolor,23,90,60,0.23431461500000061
Iris-virginica,Iris-versicolor,1,90,60,0.23431461500000061
Iris-virginica,Iris-virginica,15,90,60,0.23431461500000061
Iris-setosa,Iris-setosa,17,105,45,0.1778657319999999
Iris-versicolor,Iris-versicolor,17,105,45,0.1778657319999999
Iris-virginica,Iris-virginica,11,105,45,0.1778657319999999
Iris-setosa,Iris-setosa,13,120,30,0.12246340300000025
Iris-versicolor,Iris-versicolor,10,120,30,0.12246340300000025
Iris-virginica,Iris-virginica,7,120,30,0.12246340300000025
Iris-setosa,Iris-setosa,6,135,15,0.06754468699999983
Iris-versicolor,Iris-versicolor,7,135,15,0.06754468699999983
Iris-virginica,Iris-virginica,2,135,15,0.06754468699999983
