,0,1,2,3,4,5,6,7,8,9
0,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
2,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
5,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
6,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
7,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
8,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
9,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
10,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
11,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
12,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
13,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
14,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
15,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
16,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
17,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
18,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
20,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
22,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
23,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
24,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
25,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
26,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
27,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
28,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
29,-200,-200,-200,-200,13,-200,-200,-200,-200,-200
30,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
31,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
32,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
33,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
34,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
35,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
36,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
37,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
38,-200,-200,-200,-200,-200,-200,-200,0,6,-200
39,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
40,-200,-200,-200,-200,10,11,-200,-200,-200,-200
41,-200,10,-200,-200,-200,-200,-200,13,7,-200
42,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
43,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
44,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
45,-200,3,-200,-200,-200,-200,-200,-200,-200,-200
46,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
47,-200,-200,-200,-200,-200,-200,7,-200,-200,-200
48,-200,-200,-200,-200,-200,-200,-200,13,-200,-200
49,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
50,-200,-200,-200,-200,-200,12,-200,-200,13,-200
51,-200,-200,-200,-200,-200,-200,-200,-200,13,-200
52,-200,7,-200,-200,-200,12,-200,-200,-200,-200
53,-200,4,-200,-200,-200,-200,-200,-200,-200,-200
54,-200,-200,-200,8,-200,10,9,-200,-200,-200
55,10,15,-200,10,-200,-200,-200,-200,-200,14
56,-200,-200,-200,-200,-200,-200,-200,-200,11,-200
57,-200,-200,-200,-200,-200,10,-200,-200,-200,-200
58,-200,-200,-200,12,-200,5,11,-200,-200,-200
59,7,-200,9,-200,15,12,9,14,-200,-200
60,-200,-200,8,-200,-200,13,-200,-200,-200,-200
61,-200,-200,-200,-200,-200,10,-200,-200,-200,-200
62,-200,-200,-200,7,-200,8,-200,-200,-200,12
63,-200,13,-200,-200,-200,-200,-200,-200,-200,10
64,-200,10,14,-200,-200,-200,-200,-200,-200,-200
65,-200,-200,-200,-200,-200,14,9,-200,-200,10
66,7,-200,-200,12,12,-200,-200,-200,7,12
67,-200,9,-200,-200,-200,11,12,11,-200,-200
68,10,9,-200,9,12,-200,-200,-200,12,11
69,11,-200,-200,10,-200,-200,-200,-200,9,7
70,9,10,8,-200,-200,-200,-200,-200,-200,6
71,8,-200,12,-200,-200,11,-200,7,-200,12
72,11,-200,12,11,-200,10,8,9,11,9
73,9,-200,6,4,9,-200,6,11,6,11
74,-200,-200,10,-200,-200,11,9,-200,8,-200
75,5,-200,10,10,10,-200,-200,-200,12,5
76,15,10,5,11,-200,-200,-200,-200,9,-200
77,10,8,11,10,10,10,11,-200,9,11
78,-200,-200,9,10,-200,9,14,-200,10,11
79,8,9,-200,9,-200,10,10,3,9,-200
80,-200,5,-200,14,6,-200,11,-200,7,-200
81,14,9,14,6,10,8,-200,10,-200,9
82,8,-200,-200,11,13,8,-200,-200,10,-200
83,6,11,-200,7,-200,11,4,-200,11,8
