,reward
0,13
1,10
2,-200
3,-200
4,-200
5,-200
6,-200
7,12
8,12
9,-200
10,9
11,-200
12,-200
13,9
14,-200
15,-200
16,-200
17,-200
18,-200
19,-200
20,8
21,-200
22,-200
23,-200
24,-200
25,10
26,-200
27,-200
28,9
29,-200
30,-200
31,-200
32,12
33,-200
34,-200
35,-200
36,-200
37,-200
38,-200
39,-200
40,12
41,8
42,-200
43,-200
44,-200
45,12
46,-200
47,-200
48,-200
49,-200
50,-200
51,-200
52,8
53,-200
54,15
55,-200
56,13
57,-200
58,-200
59,-200
60,-200
61,-200
62,-200
63,-200
64,-200
65,-200
66,-200
67,-200
68,-200
69,-200
70,-200
71,-200
72,-200
73,-200
74,-200
75,8
76,-200
77,-200
78,-200
79,-200
80,-200
81,-200
82,-200
83,-200
84,-200
85,10
86,-200
87,-200
88,-200
89,-200
90,-200
91,-200
92,-200
93,-200
94,-200
95,-200
96,-200
97,7
98,-200
99,-200
100,-200
101,-200
102,-200
103,-200
104,-200
105,9
106,-200
107,-200
108,-200
109,-200
110,-200
111,-200
112,9
113,-200
114,-200
115,-200
116,-200
117,-200
118,-200
119,-200
120,-200
121,6
122,-200
123,-200
124,14
125,-200
126,-200
127,-200
128,-200
129,-200
130,-200
131,-200
132,-200
133,-200
134,-200
135,-200
136,-200
137,-200
138,9
139,-200
140,-200
141,-200
142,-200
143,-200
144,-200
145,-200
146,-200
147,7
148,-200
149,7
150,-200
151,-200
152,-200
153,-200
154,-200
155,-200
156,-200
157,-200
158,-200
159,9
160,-200
161,-200
162,-200
163,-200
164,-200
165,-200
166,-200
167,-200
168,-200
169,10
170,-200
171,15
172,-200
173,-200
174,-200
175,10
176,-200
177,-200
178,6
179,-200
180,9
181,-200
182,7
183,-200
184,-200
185,10
186,-200
187,-200
188,-200
189,-200
190,-200
191,-200
192,-200
193,-200
194,-200
195,-200
196,-200
197,-200
198,-200
199,10
200,-200
201,9
202,-200
203,-200
204,-200
205,-200
206,-200
207,-200
208,-200
209,-200
210,-200
211,-200
212,-200
213,-200
214,-200
215,-200
216,-200
217,12
218,-200
219,8
220,-200
221,-200
222,-200
223,-200
224,11
225,-200
226,-200
227,-200
228,-200
229,-200
230,8
231,10
232,-200
233,-200
234,-200
235,-200
236,-200
237,-200
238,-200
239,-200
240,-200
241,12
242,-200
243,-200
244,-200
245,12
246,-200
247,-200
248,10
249,7
250,-200
251,-200
252,9
253,-200
254,-200
255,-200
256,-200
257,-200
258,10
259,-200
260,-200
261,-200
262,-200
263,-200
264,-200
265,-200
266,-200
267,-200
268,-200
269,-200
270,-200
271,14
272,-200
273,-200
274,-200
275,-200
276,-200
277,-200
278,-200
279,-200
280,-200
281,-200
282,11
283,-200
284,-200
285,11
286,-200
287,7
288,-200
