,0,1,2,3,4,5,6,7,8,9
0,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
2,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
5,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
6,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
7,-200,9,-200,-200,-200,-200,-200,-200,-200,-200
8,-200,-200,-200,-200,-200,-200,-200,-200,13,-200
9,-200,8,7,-200,-200,-200,7,-200,-200,10
10,-200,-200,-200,-200,5,-200,-200,-200,-200,-200
11,8,-200,9,12,13,9,-200,8,-200,-200
12,-200,-200,-200,9,7,9,-200,-200,-200,4
13,-200,-200,4,7,4,12,10,13,10,9
14,8,11,7,-200,5,-200,8,-200,14,-200
15,8,5,7,9,11,6,9,4,6,6
16,11,9,12,7,-200,8,5,6,4,5
17,8,10,3,5,6,11,6,12,7,-200
18,6,8,10,-200,8,8,12,6,7,6
19,8,9,5,7,8,7,7,13,6,11
20,6,4,10,9,7,12,2,10,9,8
21,5,11,9,5,8,4,3,6,10,11
22,8,6,12,6,9,10,7,7,6,6
23,12,14,12,8,4,8,11,3,8,5
24,8,10,10,8,8,9,8,8,9,5
25,13,8,7,6,5,11,4,7,7,5
26,9,10,6,11,4,6,7,7,8,8
27,10,6,8,11,11,11,10,7,12,9
28,9,11,7,6,5,12,4,8,7,9
29,9,7,10,10,9,5,10,5,8,7
30,8,9,7,6,5,7,6,10,6,10
31,9,11,6,12,9,9,8,6,9,5
32,12,9,9,7,5,15,8,10,6,12
33,9,9,12,6,7,7,9,5,8,3
34,8,12,6,8,7,9,5,4,7,6
35,12,6,9,8,6,6,6,6,11,7
36,9,6,10,10,10,9,5,11,12,8
37,7,10,8,5,5,7,7,5,4,7
38,7,11,4,8,4,8,3,10,11,5
39,11,4,10,9,11,7,11,7,9,12
40,8,7,9,12,8,5,5,7,12,5
41,10,3,7,10,5,11,5,9,7,6
42,9,5,8,9,13,8,6,7,9,11
43,5,11,6,10,10,6,5,5,5,4
44,13,5,12,6,8,8,7,7,6,10
45,5,10,4,14,4,10,9,7,6,8
46,8,4,8,8,7,6,7,9,6,10
47,9,11,8,7,8,7,12,9,10,4
48,8,11,10,6,7,8,9,5,5,12
49,4,11,10,7,5,5,11,9,8,8
50,6,4,10,9,7,4,9,7,7,7
51,12,8,5,5,5,10,7,7,7,6
52,8,7,14,8,7,10,4,5,7,7
53,7,8,6,9,6,15,8,8,5,6
54,7,11,9,6,7,11,10,6,6,9
55,7,7,7,7,7,6,7,4,10,5
56,4,15,7,10,4,10,7,3,9,5
57,4,6,6,8,9,6,5,4,11,8
58,7,15,7,11,5,7,7,9,5,9
59,8,12,8,9,9,7,11,5,7,12
60,9,9,3,9,8,9,12,5,5,14
61,8,10,8,8,9,8,9,4,10,5
62,3,7,9,5,6,9,9,11,5,6
63,7,5,3,11,11,4,8,9,9,6
64,11,5,5,9,10,3,6,7,11,6
65,5,6,6,7,9,8,8,14,6,5
66,8,10,7,12,6,5,11,8,4,5
67,7,10,7,11,12,8,4,6,6,6
68,5,9,8,9,12,4,8,7,12,8
69,9,13,8,5,4,8,9,7,8,8
70,6,9,9,6,14,11,7,9,9,7
71,11,4,8,12,14,5,10,7,7,9
72,5,3,6,7,9,12,8,10,7,10
73,8,7,8,9,6,9,7,5,9,12
74,7,8,7,7,11,8,9,9,9,8
75,8,7,10,8,6,5,5,4,9,6
76,6,9,12,4,6,13,9,10,8,7
77,10,14,9,7,8,12,13,6,6,13
78,8,5,4,6,10,9,13,8,8,4
79,5,6,13,7,9,6,5,10,12,6
80,6,3,7,5,4,11,5,9,4,10
81,6,9,8,13,7,8,9,8,9,5
82,5,10,3,10,6,10,9,5,11,7
83,7,11,10,11,10,7,5,4,5,12
84,6,9,8,8,4,6,5,7,10,6
85,7,9,3,7,6,10,12,7,8,9
86,7,5,6,5,9,8,10,8,8,5
87,4,10,6,8,8,6,6,10,11,7
88,8,7,7,6,9,5,8,9,7,8
89,6,9,6,10,8,6,10,12,9,7
90,4,8,3,8,8,12,13,5,6,7
91,9,9,10,7,8,11,9,7,11,11
92,4,8,7,8,4,10,9,10,7,4
93,7,5,4,12,5,9,6,7,11,8
94,9,3,9,8,5,14,7,4,8,5
95,11,5,7,5,10,9,6,8,11,5
96,13,8,6,4,10,5,5,5,10,15
97,6,11,8,11,9,9,3,7,5,7
98,7,5,6,5,6,12,10,11,7,12
99,7,8,11,12,6,8,8,4,9,13
