,reward
0,-200
1,7
2,-200
3,10
4,12
5,-200
6,-200
7,7
8,6
9,5
10,5
11,-200
12,10
13,5
14,7
15,-200
16,-200
17,8
18,6
19,12
20,-200
21,9
22,12
23,10
24,-200
25,3
26,3
27,7
28,7
29,8
30,-200
31,12
32,3
33,11
34,7
35,8
36,10
37,9
38,-200
39,9
40,5
41,6
42,11
43,8
44,10
45,14
46,6
47,-200
48,12
49,5
50,10
51,8
52,5
53,-200
54,7
55,10
56,8
57,4
58,-200
59,6
60,2
61,7
62,6
63,7
64,8
65,14
66,5
67,5
68,6
69,7
70,11
71,7
72,11
73,9
74,9
75,6
76,10
77,-200
78,7
79,10
80,-200
81,9
82,7
83,-200
84,6
85,-200
86,7
87,8
88,7
89,8
90,13
91,13
92,10
93,8
94,-200
95,5
96,9
97,3
98,6
99,3
100,13
101,4
102,6
103,10
104,10
105,3
106,15
107,8
108,6
109,9
110,11
111,5
112,8
113,-200
114,5
115,9
116,-200
117,7
118,7
119,5
120,2
121,7
122,-200
123,7
124,8
125,8
126,6
127,5
128,4
129,4
130,7
131,10
132,6
133,7
134,4
135,8
136,4
137,9
138,-200
139,5
140,8
141,-200
142,13
143,8
144,-200
145,8
146,-200
147,6
148,-200
149,11
150,7
151,10
152,10
153,8
154,8
155,7
156,8
157,11
158,11
159,2
160,9
161,-200
162,8
163,6
164,13
165,6
166,10
167,7
168,8
169,9
170,7
171,-200
172,-200
173,-200
174,-200
175,7
176,5
177,4
178,8
179,9
180,11
181,6
182,10
183,7
184,5
185,-200
186,8
187,4
188,11
189,10
190,7
191,8
192,9
193,-200
194,7
195,12
196,3
197,6
198,-200
199,8
200,5
201,10
202,9
203,-200
204,7
205,6
206,6
207,11
208,11
209,6
210,-200
211,5
212,8
213,10
214,5
215,8
216,5
217,-200
218,7
219,-200
220,7
221,10
222,11
223,-200
224,13
225,6
226,-200
227,9
228,8
229,10
230,12
231,5
232,7
233,7
234,-200
235,10
236,5
237,12
238,11
239,-200
240,13
241,9
242,-200
243,6
244,8
245,7
246,8
247,12
248,9
249,11
250,-200
251,-200
252,7
253,7
254,15
255,-200
256,4
257,6
258,11
259,-200
260,5
261,5
262,7
263,6
264,4
265,11
266,7
267,9
268,-200
269,8
270,7
271,-200
272,4
273,6
274,10
275,10
276,4
277,7
278,6
279,6
280,-200
281,9
282,5
283,9
284,12
285,9
286,5
287,12
288,4
289,6
290,10
