,0,1,2,3,4,5,6,7,8,9
0,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
2,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
5,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
6,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
7,-200,-200,-200,-200,9,-200,-200,9,-200,-200
8,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
9,-200,-200,-200,-200,-200,-200,-200,-200,10,-200
10,12,-200,-200,-200,-200,-200,-200,-200,-200,-200
11,11,10,13,-200,-200,-200,-200,-200,-200,-200
12,11,-200,-200,9,9,-200,-200,7,-200,-200
13,9,-200,12,-200,-200,-200,-200,-200,10,12
14,7,6,-200,6,-200,7,-200,-200,-200,-200
15,8,9,-200,-200,6,11,-200,9,5,11
16,-200,-200,10,15,15,-200,9,10,8,7
17,11,-200,10,-200,4,8,6,-200,7,8
18,5,8,10,-200,5,6,4,8,9,5
19,6,-200,13,6,8,9,10,6,4,10
20,12,6,8,5,7,10,4,11,9,12
21,11,9,10,8,13,5,6,9,6,10
22,5,9,7,-200,6,7,7,6,4,12
23,11,4,9,10,5,6,7,10,11,11
24,6,11,9,8,9,4,12,6,7,10
25,6,7,6,6,7,6,9,6,9,10
26,6,8,6,8,11,7,7,7,9,8
27,7,6,10,4,6,9,9,7,10,12
28,8,9,10,11,3,3,9,11,4,7
29,7,4,5,8,9,7,5,5,8,9
30,11,12,11,15,4,7,9,9,8,7
31,7,4,9,13,11,8,7,9,5,8
32,8,7,5,15,8,7,6,11,3,9
33,10,9,6,9,6,4,8,7,10,9
34,4,6,7,13,8,13,7,14,9,3
35,7,7,8,9,9,5,8,5,9,5
36,4,11,6,6,7,4,9,8,5,10
37,7,12,10,8,6,9,6,5,10,5
38,7,7,11,4,8,12,10,6,4,12
39,8,6,8,3,15,5,5,10,11,5
40,11,4,3,11,5,7,6,10,6,6
41,13,6,7,9,8,9,6,7,11,10
42,6,7,7,11,10,12,7,5,8,5
43,5,10,12,6,4,11,12,10,7,5
44,8,11,6,11,9,5,6,7,8,3
45,9,11,9,11,9,7,7,13,8,7
46,10,8,8,6,9,5,11,9,8,8
47,10,8,9,11,7,6,7,7,9,9
48,10,7,3,3,8,6,9,11,8,7
49,7,9,11,10,8,7,7,11,10,5
50,5,3,8,10,9,4,9,9,12,9
51,8,12,13,6,7,11,5,5,6,12
52,9,10,13,8,6,5,7,3,11,10
53,13,7,8,9,6,9,11,8,9,6
54,5,5,9,8,8,8,14,10,8,14
55,13,12,7,12,11,9,6,12,5,7
56,15,10,9,8,4,10,4,12,8,8
57,8,4,8,14,8,6,13,4,7,11
58,8,5,10,5,7,4,7,4,7,5
59,10,9,7,7,4,7,11,9,7,6
60,11,8,13,11,7,12,5,6,9,12
61,5,9,7,9,6,10,8,10,10,13
62,10,6,13,8,8,6,7,9,3,10
63,10,7,4,12,14,11,7,9,12,12
64,9,7,4,7,7,12,7,9,8,6
65,7,9,8,7,8,4,6,7,8,8
66,8,10,8,6,4,10,7,12,8,7
67,7,14,6,4,11,13,10,11,8,10
68,7,14,7,10,9,6,11,12,4,10
69,8,7,9,4,11,6,7,11,4,5
70,8,10,7,10,7,13,5,8,6,7
71,7,13,8,8,9,5,4,8,8,6
72,9,4,3,7,9,5,10,6,5,8
73,3,8,11,11,4,10,10,10,8,9
74,11,11,6,7,6,6,9,9,6,4
75,8,7,7,8,12,10,6,7,5,7
76,5,13,5,9,7,5,8,11,6,3
77,7,11,9,8,8,13,7,11,7,8
78,6,6,10,8,10,12,12,12,10,9
79,7,3,10,7,7,9,7,7,6,9
80,11,8,6,7,7,10,9,6,7,5
81,5,3,12,9,6,10,11,4,9,4
82,11,9,7,10,5,5,4,4,5,4
83,13,4,7,8,10,6,6,6,10,7
84,10,4,9,4,8,10,11,8,4,7
85,9,4,11,12,6,9,7,4,9,8
86,13,4,6,5,5,7,11,10,10,8
87,4,4,10,7,13,4,4,10,4,4
88,7,9,13,8,6,6,9,14,12,4
89,5,6,6,6,11,8,6,8,5,6
90,7,5,5,6,8,6,5,5,8,6
91,3,10,5,4,10,10,5,10,6,8
92,7,6,4,11,7,7,8,12,12,9
93,8,7,6,7,9,8,6,4,9,3
94,9,6,4,6,7,11,7,10,8,7
95,5,6,6,8,9,6,15,4,4,8
96,8,9,13,7,9,7,10,8,10,8
97,8,7,8,10,15,6,8,7,8,5
98,9,8,4,9,8,6,4,6,8,12
99,9,7,9,10,15,4,8,7,6,7
