,reward
0,-200
1,-200
2,-200
3,-200
4,-200
5,-200
6,-200
7,8
8,14
9,8
10,-200
11,4
12,-200
13,-200
14,10
15,-200
16,-200
17,-200
18,-200
19,-200
20,10
21,-200
22,-200
23,7
24,-200
25,10
26,-200
27,9
28,9
29,9
30,10
31,-200
32,9
33,-200
34,-200
35,8
36,13
37,10
38,-200
39,-200
40,-200
41,15
42,-200
43,-200
44,-200
45,-200
46,-200
47,3
48,11
49,-200
50,9
51,-200
52,-200
53,7
54,11
55,10
56,7
57,5
58,-200
59,13
60,-200
61,-200
62,-200
63,-200
64,13
65,-200
66,-200
67,-200
68,-200
69,-200
70,-200
71,-200
72,-200
73,12
74,-200
75,-200
76,4
77,-200
78,7
79,-200
80,7
81,-200
82,-200
83,-200
84,-200
85,-200
86,-200
87,-200
88,8
89,10
90,-200
91,8
92,-200
93,-200
94,-200
95,7
96,-200
97,5
98,-200
99,8
100,5
101,-200
102,11
103,-200
104,8
105,-200
106,7
107,8
108,-200
109,13
110,-200
111,-200
112,-200
113,13
114,14
115,3
116,-200
117,-200
118,-200
119,15
120,11
121,-200
122,13
123,12
124,5
125,-200
126,-200
127,11
128,-200
129,-200
130,9
131,-200
132,9
133,-200
134,10
135,-200
136,-200
137,9
138,6
139,-200
140,9
141,10
142,14
143,8
144,9
145,8
146,4
147,-200
148,-200
149,9
150,-200
151,6
152,-200
153,-200
154,6
155,11
156,6
157,10
158,-200
159,7
160,-200
161,7
162,-200
163,9
164,-200
165,9
166,-200
167,9
168,-200
169,12
170,-200
171,10
172,-200
173,-200
174,-200
175,13
176,11
177,5
178,-200
179,-200
180,-200
181,7
182,-200
183,10
184,-200
185,6
186,8
187,6
188,12
189,-200
190,-200
191,-200
192,6
193,-200
194,-200
195,11
196,-200
197,11
198,-200
199,-200
200,-200
201,14
202,6
203,-200
204,-200
205,-200
206,7
207,-200
208,-200
209,-200
210,11
211,6
212,-200
213,-200
214,3
215,7
216,-200
217,10
218,7
219,-200
220,-200
221,7
222,9
223,13
224,6
225,-200
226,7
227,-200
228,-200
229,13
230,-200
231,-200
232,-200
233,13
234,-200
235,-200
236,-200
237,10
238,6
239,-200
240,-200
241,-200
242,-200
243,5
244,15
245,-200
246,-200
247,-200
248,13
249,11
250,-200
251,-200
252,10
253,6
254,4
255,9
256,-200
257,12
258,-200
259,9
260,3
261,8
262,12
263,-200
264,-200
265,-200
266,-200
267,8
268,10
269,-200
270,-200
271,-200
272,9
273,-200
274,-200
275,5
276,-200
277,9
278,-200
279,-200
280,5
281,8
282,9
283,8
284,-200
285,-200
286,-200
287,11
288,9
289,9
290,7
291,8
292,11
293,4
294,10
295,9
296,-200
297,-200
298,7
299,-200
300,-200
301,-200
302,-200
303,-200
304,-200
305,12
306,4
307,7
308,13
309,-200
310,-200
311,-200
312,9
313,-200
314,-200
315,-200
316,-200
317,-200
318,-200
319,-200
320,7
321,-200
322,-200
323,8
324,11
325,10
326,7
327,7
328,9
329,8
330,-200
331,13
332,-200
333,5
334,-200
335,-200
336,10
337,9
338,8
339,-200
340,9
341,8
342,8
343,-200
344,-200
345,10
346,8
347,-200
348,8
349,-200
350,5
351,-200
352,5
353,4
354,7
355,-200
356,-200
357,-200
358,-200
359,-200
360,-200
361,5
362,5
363,6
364,-200
365,4
366,5
367,-200
368,7
369,-200
370,-200
371,-200
372,-200
373,7
374,13
375,13
376,-200
377,-200
378,-200
379,-200
380,-200
381,-200
382,-200
383,11
384,-200
385,-200
386,-200
387,-200
388,10
389,-200
390,-200
391,11
392,-200
393,-200
394,-200
395,-200
396,12
397,-200
398,-200
399,11
400,13
401,-200
402,9
403,-200
404,-200
405,-200
406,-200
407,8
408,-200
409,-200
410,-200
411,-200
412,-200
413,-200
414,9
415,-200
416,-200
417,-200
418,5
