,name,filename,time,r_m,r_std,discount,learning_rate,strategy,param,t_max,episodes
0,epsilon 0.1 0.1 0.1,epsilon_01_01_01,8.616711703,-200.0,0.0,0.1,0.1,epsilon,0.1,30,5000
1,epsilon 0.1 0.1 1.0,epsilon_01_01_10,8.230715205000001,-200.0,0.0,0.1,0.1,epsilon,1.0,30,5000
2,boltzman 0.1 0.1 0.1,boltzman_01_01_01,11.630311518,-200.0,0.0,0.1,0.1,boltzman,0.1,30,5000
3,boltzman 0.1 0.1 1.0,boltzman_01_01_10,11.671645236,-200.0,0.0,0.1,0.1,boltzman,1.0,30,5000
4,counter 0.1 0.1 0.1,counter_01_01_01,9.4779317,-200.0,0.0,0.1,0.1,counter,0.1,30,5000
5,counter 0.1 0.1 1.0,counter_01_01_10,16.643765103000003,-200.0,0.0,0.1,0.1,counter,1.0,30,5000
6,epsilon 0.1 0.5 0.1,epsilon_01_05_01,6.040161524999999,6.218,18.6874951772569,0.1,0.5,epsilon,0.1,30,5000
7,epsilon 0.1 0.5 1.0,epsilon_01_05_10,7.847750117,-166.877,76.46860709467644,0.1,0.5,epsilon,1.0,30,5000
8,boltzman 0.1 0.5 0.1,boltzman_01_05_01,16.528768786999997,-125.685,100.39782754123716,0.1,0.5,boltzman,0.1,30,5000
9,boltzman 0.1 0.5 1.0,boltzman_01_05_10,16.985199483000002,-146.042,91.75137184805466,0.1,0.5,boltzman,1.0,30,5000
10,counter 0.1 0.5 0.1,counter_01_05_01,10.386486659,7.928,2.568037382905475,0.1,0.5,counter,0.1,30,5000
11,counter 0.1 0.5 1.0,counter_01_05_10,22.099288310999995,-200.0,0.0,0.1,0.5,counter,1.0,30,5000
12,epsilon 0.1 1.0 0.1,epsilon_01_10_01,7.450836083999995,7.986,2.59572802889671,0.1,1.0,epsilon,0.1,30,5000
13,epsilon 0.1 1.0 1.0,epsilon_01_10_10,12.508062192000004,-182.945,57.451370523252095,0.1,1.0,epsilon,1.0,30,5000
