,results
0,13812020.816304836
1,8241361.339089102
2,5050423.692379033
3,15815297.080218162
4,19967412.69057461
5,15454083.606907474
6,22358137.105501425
7,15384944.567971705
8,16911858.79529646
9,12205001.950546982
10,13079582.15244209
11,15109898.32171776
12,13359448.091852855
13,58029198.947352685
14,16490917.8219334
15,16103977.66622664
16,19356759.166045684
17,7906399.105905014
18,11320834.814696796
19,17419613.290421147
20,11633606.329481794
21,15642254.815615743
22,7600097.4818308065
23,16152785.234694244
24,8836306.993212715
25,12286505.385868464
26,17062629.81097841
27,17058039.117623676
28,8417148.575968701
29,10002789.806374514
30,16781776.71001159
31,22335384.052604504
32,14053197.902442707
33,16117447.034099907
34,11165622.306124244
35,10278496.227621857
36,18554235.37482037
37,15604534.325410469
38,11222632.404956387
39,14999069.630038254
40,8523752.674270375
41,10101707.440844592
42,14745395.088253396
43,6847849.382481205
44,14875174.590475505
45,13989973.594767334
46,19326742.080949705
47,8619334.852259802
48,20615721.91419373
49,14248376.421089562
50,18660847.760585938
51,11982052.860762889
52,16791099.857212942
53,13919349.735399174
54,48793349.5027094
55,29372818.616197612
56,20111634.234295975
57,8886314.929778377
58,12133913.536881078
59,18902891.198504202
60,3228191.9836191623
61,6604165.709400661
62,16458873.774425166
63,12982351.981923554
64,21765699.22745915
65,15760433.982049927
66,8223499.8888765015
67,9087352.344836699
68,19851272.407153018
69,4167596.2565843384
70,10219028.474028658
71,12852273.058563938
72,12891232.618631585
73,10160452.33133732
74,19579148.941272367
75,7930235.089395076
76,12893870.494251715
77,11657428.710012987
78,8643562.727458045
79,22516860.605342373
80,16805639.887695555
81,7618614.203074596
82,20362661.775958657
83,15688602.66333732
84,16551064.522248045
85,13675400.009097122
86,14821085.510516431
87,16970270.011305455
88,13962728.731304169
89,16338913.41755019
90,10303410.890182953
91,5041665.521479489
92,11538403.423808081
93,18723818.527467437
94,14497427.133986035
95,13968689.65517533
96,18204345.721402127
97,18454334.83463057
98,14773104.889745856
99,17960672.858289458
