,results
0,2313292.566894615
1,4338989.2974043125
2,3135791.029152407
3,3533257.5785345263
4,3697886.395822301
5,3401560.0374013423
6,4877705.862206555
7,4268034.405066155
8,2376528.920825385
9,3315847.560249342
10,1998458.0380268418
11,4709327.800640619
12,3903695.8318211217
13,5077617.061293325
14,3837258.9248239277
15,2896373.30934138
16,5253935.978691086
17,2560493.841578979
18,2876683.928039001
19,3444548.8372932686
20,4544768.785212538
21,3205011.906671451
22,3578070.811607296
23,2398197.060457701
24,2692837.4024006813
25,4668895.658628585
26,3118793.7201603926
27,4365311.00239697
28,2523753.920393618
29,3733744.8481361982
30,4156293.828510914
31,2758930.9333262495
32,4981487.018749335
33,4524308.974317878
34,3449595.2051509866
35,4396423.026126517
36,2160167.021718624
37,3266724.6000136156
38,4142502.700746689
39,1692898.0286295642
40,3027199.7582514337
41,3241076.8301282376
42,2743918.3880553492
43,3147129.9003098817
44,3992388.7437419742
45,5227145.087309956
46,4158456.124131322
47,4585434.389429137
48,4093171.099756044
49,2724297.338796151
50,2407361.4729692996
51,2579420.0502227587
52,4119629.2491021566
53,3319014.9638343477
54,2845292.8907966632
55,5262621.148886771
56,4795588.770693387
57,1210662.3847963098
58,4019261.73877625
59,2785638.351749775
60,3394221.8016843796
61,3235988.788653121
62,3766255.6372241676
63,3904789.9926344203
64,4142746.2039273493
65,4093594.5390974195
66,3470254.6071056593
67,4184874.04177242
68,5956368.547589956
69,4038589.4204894197
70,1893207.754787772
71,1946598.5281448758
72,2179615.7719047656
73,2527928.914550473
74,2407396.104460798
75,4023329.417448292
76,4167626.24205726
77,2632379.5225538774
78,3794538.967572077
79,2534575.920464176
80,3544171.0832200553
81,6730123.873890485
82,1414355.7947515259
83,1245876.1536167096
84,2886100.6077798284
85,6382203.582495718
86,2611853.3152984385
87,1272309.2829870915
88,5026239.606231978
89,4960772.569680498
90,4980181.7537664985
91,4225538.887221162
92,3989294.6523505724
93,4318931.798365009
94,1417369.5854959695
95,2773530.0930926017
96,2886466.746839987
97,3318101.098050547
98,3075610.971514347
99,2796222.803995059
