,results
0,2153.806449876861
1,1403.970638699837
2,2038.745455778777
3,2304.9149370788436
4,2960.856284696256
5,2055.4059710199203
6,2268.8428348821353
7,1969.1983988204647
8,1942.7540386934102
9,2237.577634357841
10,3463.7618077157545
11,1956.825763067679
12,3184.8330326435953
13,3956.575370606218
14,4007.5421485352485
15,2699.5356723401055
16,1995.5829745504627
17,2157.6259389540387
18,2391.2949623306577
19,2908.9022129168325
20,2239.474734497948
21,2262.486635366504
22,2198.574987223101
23,1849.7575567869826
24,2805.1615892825166
25,2929.9171121690606
26,1327.248171045815
27,2217.377541275049
28,3325.123169514405
29,3644.6563298070832
30,3784.6624412622323
31,2471.084483665414
32,2081.585885499432
33,2234.8556997588516
34,4039.2432082619694
35,2646.113988237245
36,2688.2826738778876
37,2491.721473228814
38,2714.8159945614343
39,1680.0449879671294
40,2114.3358226009527
41,2375.259766248868
42,2887.12706596888
43,3288.944193780298
44,4523.589533924052
45,1631.166645990091
46,2730.2080648855376
47,3137.929459209202
48,2731.4997858724782
49,2832.1808043726182
50,3176.265533402982
51,2261.9959393001463
52,2476.433312354713
53,4224.89451182944
54,1927.697317054589
55,2621.374348892443
56,2205.533616214173
57,1784.458408697761
58,2941.5032645985184
59,2811.056108698879
60,2431.876597163546
61,2868.356800843188
62,2594.41227382526
63,2486.3597368412447
64,2095.4101981523468
65,2275.6845197961075
66,2225.4987916057507
67,2401.2427985133545
68,2557.3450143154614
69,2751.506748597485
70,1396.3307580693674
71,3415.75444883167
72,2410.9465731351183
73,2527.1078369891848
74,3168.3947340107165
75,1428.6556750162636
76,2797.5302910517194
77,2308.0722578725163
78,2404.1254738128873
79,2018.9606457805335
80,2600.6913670798313
81,1802.6367933554357
82,2688.3324696656637
83,3099.8981260889377
84,2506.923434743423
85,2725.094251931414
86,4228.859151717747
87,3241.7907310328433
88,3053.358526871596
89,4418.075986061292
90,3191.1450356499863
91,2465.072850262151
92,5104.940903878327
93,2374.320118827375
94,2022.3981519927077
95,2715.5244615713605
96,3324.01503679155
97,2086.52362144706
98,3569.0143477835295
99,3721.4214536912077
