,results
0,2467.4647770214133
1,4075.7472322513554
2,6599.34079279725
3,3134.4204444404268
4,8168.677870273948
5,2874.9630551440214
6,6682.050700848437
7,3100.397944548512
8,3268.2446006815558
9,3963.6755394353095
10,6089.331041526802
11,3439.994202845938
12,5123.027962655317
13,3686.8804273741325
14,4686.525765952132
15,2590.3259300695304
16,2839.956074072131
17,3090.0224218616886
18,2863.4056508358562
19,3254.4193084633857
20,5762.377405489077
21,3546.2790470420155
22,3328.1204990614383
23,2646.1609756254647
24,3521.0290045951942
25,4066.4041082021067
26,6231.177989162704
27,4018.5331464806977
28,4934.495012104814
29,4704.382765888689
30,5582.144310136281
31,2851.3798610399544
32,3695.3097802674797
33,3529.3021837568367
34,3343.58561976172
35,3569.8840394243252
36,3152.0715461857785
37,2960.6838577940425
38,3713.191813666691
39,3100.4707712380205
40,4248.914754978309
41,2749.369395093777
42,3325.6059760615663
43,2913.926719783649
44,3774.39918578923
45,2801.112525397289
46,2687.8198359850567
47,6326.969676655204
48,3504.145761751095
49,6347.364848252634
50,3822.6304369259283
51,2871.124581022374
52,3734.422993755413
53,5859.696513953908
54,9015.132974144884
55,5353.318019712015
56,5982.421325508551
57,4823.393400796236
58,5385.404895650578
59,2897.4131962345373
60,3327.4639008793283
61,4467.224153524413
62,3362.3085877634862
63,3395.1953108753437
64,3785.938100413995
65,2294.227022705442
66,3156.5792815008176
67,6022.653411788013
68,3429.1434803196116
69,3675.216692858516
70,6132.377230963409
71,4365.596777516084
72,3500.0946887952323
73,3186.6787584417425
74,6687.101428040414
75,3294.132917127082
76,5612.15029542065
77,2991.9017409269304
78,7198.292179333739
79,4499.105987743353
80,4076.529030067908
81,4880.339067791649
82,4240.693522143238
83,3978.6830954787433
84,3484.3136822171136
85,5003.124922511995
86,4009.284845661278
87,3491.5618229953
88,4448.604268547728
89,2492.1834413966353
90,2202.2607048467826
91,9092.278478356155
92,4061.1048798010825
93,3277.7454901567116
94,4610.083380053401
95,2875.5425286549494
96,7988.500936622901
97,2923.848457628541
98,6168.840063705991
99,9403.198884412219
