,results
0,2668113207.5722303
1,77186480.83214019
2,308485772.03659403
3,28913851779.901802
4,21107257.18905533
5,8003810442.122048
6,56921548397.94558
7,7028205.2948645195
8,11749396281.062057
9,51271563328.37889
10,5459245.877786867
11,23750270434.925907
12,185682695.16004348
13,3212882.5805884413
14,4037569919.6086698
15,2722042703.491486
16,57823053.14608872
17,24830470423.642403
18,4057612993.11287
19,212527683.32500443
20,5275482.862153091
21,32772544616.21284
22,2807843402.606121
23,1910295026.1184773
24,117609583.33170907
25,2022415937.2421248
26,861367567.9521247
27,16230139725.498356
28,9916412465.987665
29,947790310.0015597
30,1518104818.2967396
31,12811640145.293293
32,5464754425.950966
33,292836155.3378338
34,98349281764.32622
35,8474634616.3139515
36,23399104237.791435
37,2071600.3522884178
38,344522911.7736948
39,50909815.350639865
40,8731658513.23247
41,3298749094.5422997
42,17383822.96269738
43,431359158.2165792
44,1785309705.868272
45,644238373.549514
46,1038532432.2057925
47,26222996785.427044
48,3413846082.25448
49,10778628839.047148
50,886398888.4793313
51,79497273.4847678
52,57469759749.61934
53,12222718105.290968
54,473167086.3847127
55,13960163217.553059
56,10721292496.853148
57,5446595924.071892
58,15293379791.158997
59,77525268.01104254
60,3575837957.9835315
61,9456947797.344976
62,2839073025.910415
63,553800429.6272607
64,80224301.50314848
65,104621988.43984275
66,20517697125.81961
67,23983012158.724834
68,58084835.912442766
69,46048602831.976036
70,2613960281.9139996
71,4833409055.09642
72,38735030112.26956
73,7205706475.841725
74,164868678.16147617
75,4441959878.747513
76,31641101656.992916
77,468842648.36846244
78,3628658283.361603
79,1192912769.7885227
80,2062479622.7131062
81,10744399505.281633
82,38638278124.66405
83,43594423.150526054
84,33834297.88697095
85,573597046.5345995
86,16448574396.100096
87,152652079.67640245
88,546103830.3653231
89,12274412.648815218
90,2634466004.0628605
91,5231714193.41863
92,1790316.8693783083
93,7134033343.799147
94,771466309.1893324
95,12504240833.072224
96,182962585.6862083
97,6318887213.248828
98,40195333456.05897
99,3319977181.347523
