,results
0,3359.974601327983
1,2157.1964550938446
2,100.25798561661969
3,877.0916241029115
4,750.2996594288788
5,17941.61089622151
6,5463.111177100356
7,200.33954986221545
8,598.0346745929224
9,101.34866033995465
10,7194.676718811487
11,3074.8791793241153
12,11689.374758017966
13,4021.071043209821
14,6465.7840565877705
15,5918.1182883312995
16,109.59153068081964
17,1319.3490087403482
18,5667.201041200222
19,8424.105960807561
20,103.72307218347302
21,1895.3416378309382
22,947.3645875924522
23,204.80676548155395
24,27433.71767793946
25,7712.801302940497
26,6719.664470674731
27,22759132.774104737
28,295.13874805252067
29,21395.89875222081
30,6811.322534444318
31,14006.561354225665
32,2091.9893594289097
33,209.04600431336783
34,3837.124178993102
35,8666.048058845257
36,5577.1351260929705
37,6858.155520511835
38,2495.4951652835443
39,9573.157728003569
40,468.40567058747934
41,737.5886189829379
42,1109.4154433628225
43,16495.928579770214
44,1849.662041943192
45,19034.038639378126
46,5614.691002964016
47,5888.49509004597
48,6372.792704294875
49,2059.530819342639
50,638.5361656593552
51,680.5066389720898
52,1016.0428492515732
53,183.88121534993195
54,1715.8241370643884
55,15802.146028930672
56,5485.850758780496
57,113.331344834967
58,261.752132704172
59,6888.189691295459
60,23905.976514129237
61,3879.9587909953248
62,3289.1139201647848
63,992.5369082756774
64,7760.171880677209
65,4011.6739980349544
66,319.56003268190364
67,6951.805691345687
68,7991.190435558618
69,14142.687205153727
70,3627.845626309503
71,6398.840940220731
72,1395.8388496543184
73,982.051226617142
74,5519.466967271571
75,117.87407365685867
76,2939.217911407289
77,203.15683741688406
78,12274.863970243143
79,4329.332513160568
80,3178.6161182814135
81,105.9745819235107
82,12433.312585510734
83,591.7488686776642
84,1577.0357695738403
85,101.4970490383025
86,1097.9520592673666
87,7031.018185792303
88,1827.926302758663
89,3230.654645407242
90,7971.824559162674
91,5690.755083632578
92,2651.4572705166333
93,34239.45061177776
94,776.4718274864308
95,9079.868632576463
96,1505.7282665222274
97,9813.700768863304
98,138.92287957930196
99,131.75373365317807
