,results
0,1539.4379404098622
1,2473.002333099205
2,2140.439358958131
3,3176.882283796592
4,2046.633408058126
5,2057.9147282391814
6,2950.238606250506
7,1988.3847364029943
8,1686.854224518246
9,2716.8016593488414
10,2515.922430726371
11,2145.55750560838
12,2805.7471721192323
13,1967.9929592382223
14,2520.3525055751907
15,2107.009607465005
16,2636.555279489351
17,1932.9042009789432
18,1679.3747544048583
19,3106.8163780906334
20,2124.5573166778227
21,2062.4006668898446
22,1767.693234805009
23,2361.1144377749197
24,2342.6801554031554
25,2035.827344717564
26,1781.1112974886307
27,2347.936140018812
28,2719.637975711773
29,1570.1900042909385
30,1614.9111534935564
31,1564.7486849256668
32,1654.6013095952626
33,2340.666859882812
34,2706.585408056664
35,2092.63656433376
36,2166.681098687741
37,2422.5211101495884
38,1995.926172428708
39,1709.4471744856176
40,1761.67031557593
41,1706.0282166535521
42,2323.296665922729
43,1976.9575619186073
44,2030.659482499566
45,2090.41698760703
46,2969.2823054339956
47,1428.5547516445745
48,1849.332223001408
49,1969.3650561761153
50,2774.4575753447016
51,1741.101583454487
52,1957.4340021545656
53,2254.891230925985
54,2249.176574147759
55,1576.9627994970392
56,2585.6955824695733
57,1772.1170122589306
58,2077.704412958573
59,1625.7935197886145
60,2867.259420931653
61,1843.9026595653609
62,1140.1794560580884
63,1449.6481269612552
64,1956.88238804988
65,2471.1585519880473
66,1644.9697266537587
67,2090.4511221533235
68,2060.165402327065
69,1596.4586302361574
70,1729.9300630950395
71,1536.6913369219374
72,2138.238636988779
73,2890.1712718214185
74,1534.8138415220735
75,2237.5287974404473
76,1163.4948120692598
77,1709.7462676505224
78,2018.4484793067957
79,1294.9084489240229
80,2479.6135678912415
81,1498.8045716453073
82,1980.4824224583858
83,1337.49423265488
84,2731.9970222565994
85,2134.511194681891
86,2174.4544131292487
87,1704.971542915158
88,2015.206248422675
89,2195.2625095776875
90,2405.230122687317
91,2200.792898704741
92,2045.9067163202485
93,1542.5384958616464
94,1208.5247181680134
95,1493.0532612802203
96,2228.6873900418786
97,2112.4121079643646
98,2752.1185372950476
99,1827.5050908671305
