,results
0,902.8282950623835
1,903.1878830521724
2,900.003195363914
3,901.2152530451492
4,901.0061643086281
5,900.0201650312881
6,900.0000000494493
7,900.0125269084382
8,900.0000348867302
9,901.7277477542631
10,900.000992316915
11,900.0022648462037
12,900.0000283362024
13,905.6580576586002
14,923.2577063528838
15,900.0034143794019
16,900.0211702025614
17,900.2385749291863
18,900.0083063859324
19,900.0798711252064
20,900.049153859368
21,901.5048744359642
22,900.0246494660386
23,900.0869930540695
24,900.1406159946939
25,900.0933209639924
26,906.127115298503
27,900.3831499014142
28,900.0004223788611
29,900.1878449928139
30,900.0000188021893
31,900.0019499071733
32,900.0059081789586
33,900.0000080259766
34,901.6136317494759
35,900.1327008136332
36,900.000042021696
37,900.2331628815974
38,900.0002844017704
39,900.0002862545684
40,900.0146129050047
41,900.687241139555
42,900.0003796675604
43,909.4530997958934
44,900.0000645502829
45,908.8199127965846
46,900.00110436847
47,900.005718826555
48,901.6350361372795
49,900.0076754185244
50,900.0011659176968
51,900.4690698824592
52,906.1909291479317
53,900.1886563449153
54,900.0000000004082
55,902.7837399791557
56,900.0014849126684
57,905.4703458073623
58,900.5440837300857
59,900.0541355001754
60,900.0256353325841
61,900.0680291276411
62,905.3646331035974
63,900.0443716931768
64,900.0000756026461
65,900.0019433120134
66,900.0000430459622
67,901.461376558824
68,900.001276138554
69,907.5464807678876
70,900.4544498583539
71,900.0010696610641
72,900.142304967835
73,900.4983006209204
74,900.1700862226556
75,900.0000235410035
76,900.0003048371223
77,901.604343984202
78,900.0006868471015
79,900.0090844067478
80,908.5600856788772
81,900.0047349640437
82,900.0012510887476
83,900.0174416023208
84,904.0053408770441
85,900.0000000509947
86,921.1736424563314
87,902.2880795232136
88,900.0000931523425
89,900.0054581775601
90,902.2242718796849
91,900.1041914181135
92,907.2761958952615
93,900.0688557847872
94,900.0003684720263
95,900.2367353005224
96,900.0112605044319
97,900.0000047141784
98,900.0161910662889
99,900.0336105583754
