,results
0,923.2928614035646
1,900.1790565236964
2,902.2715989545386
3,907.6363769795504
4,900.0000025756448
5,927.2724941125814
6,908.9988270739947
7,900.0895282504182
8,909.4529198168982
9,903.1557822822006
10,910.2722133928097
11,900.0000000638572
12,900.089528498866
13,903.3617860748406
14,900.0895288252514
15,916.5363598018649
16,921.770240120447
17,922.4445894704172
18,918.2273325871327
19,900.0
20,900.9086480372613
21,900.9981763036476
22,902.1820742391374
23,913.6064205136447
24,905.6375643877608
25,901.7277466680613
26,900.0895282504165
27,957.7625958078361
28,920.0901015384294
29,919.362526140411
30,900.4543240185909
31,904.4958699449942
32,900.0
33,903.3089625800558
34,917.9973813857464
35,922.0889587551447
36,900.9086480545674
37,914.9108920712385
38,900.5438524794438
39,900.0895282504165
40,906.0901471943231
41,915.3375278777987
42,903.2224477140657
43,903.9744501433099
44,902.361127635296
45,900.0000000000111
46,900.9086480372664
47,900.0
48,926.7933309381746
49,900.0895282508446
50,900.1790565008331
51,900.4543240319754
52,920.1330104990398
53,900.4543249848643
54,900.0000000000003
55,918.6376625609084
56,945.0478865063126
57,903.7265596292078
58,900.0000000000068
59,900.0000000000015
60,900.0895282519426
61,900.6333805197131
62,900.4543240690986
63,903.4742525612335
64,912.1812972062996
65,900.54385227023
66,906.6340101026624
67,945.7902800066752
68,903.3617644014217
69,903.455500995896
70,900.0
71,903.9098176155885
72,911.8475976426173
73,900.0918043321913
74,900.0896779665677
75,900.0075089649638
76,903.3138821415862
77,922.0164690111329
78,906.7277289420493
79,917.9853409828004
80,900.9981763149661
81,925.5890359978536
82,957.4386782502071
83,940.5203041310958
84,934.197617571366
85,903.0907187238054
86,905.0895105244468
87,901.7277466681206
88,908.3372814384114
89,907.7909687880443
90,909.4310397246529
91,902.182070786446
92,900.0000000000035
93,903.7265596245727
94,911.9060337776709
95,932.4512859429683
96,998.1693574639982
97,925.8825355006161
98,913.0355278124745
99,964.1378402197483
