,0,1,2,3,4,5,6,7,8,9
0,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
2,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
5,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
6,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
7,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
8,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
9,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
10,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
11,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
12,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
13,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
14,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
15,15,-200,-200,-200,-200,-200,-200,-200,-200,-200
16,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
17,14,-200,-200,-200,-200,-200,-200,-200,-200,-200
18,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
19,-200,-200,12,10,-200,-200,11,-200,-200,-200
20,-200,-200,-200,11,11,-200,-200,-200,-200,-200
21,-200,11,-200,-200,7,-200,-200,-200,-200,-200
22,9,9,-200,10,-200,-200,-200,-200,-200,-200
23,7,-200,-200,10,-200,-200,-200,-200,-200,-200
24,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
25,-200,-200,-200,9,-200,-200,-200,-200,-200,-200
26,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
27,-200,12,-200,-200,-200,-200,-200,-200,-200,-200
28,8,-200,-200,-200,-200,-200,-200,-200,-200,-200
29,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
30,-200,-200,-200,-200,8,-200,-200,-200,-200,10
31,-200,-200,-200,-200,12,-200,-200,-200,-200,-200
32,10,-200,-200,-200,-200,-200,-200,7,-200,-200
33,-200,-200,-200,9,7,-200,-200,-200,13,11
34,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
35,-200,-200,-200,-200,-200,-200,-200,6,-200,5
36,-200,9,-200,-200,-200,13,-200,9,-200,-200
37,-200,-200,-200,13,-200,-200,-200,-200,-200,-200
38,-200,-200,-200,-200,12,6,-200,-200,9,14
39,-200,-200,-200,7,10,-200,-200,10,-200,11
40,-200,-200,-200,-200,-200,11,-200,-200,-200,11
41,-200,-200,9,-200,-200,-200,-200,7,-200,-200
42,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
43,-200,-200,-200,-200,11,10,9,-200,-200,-200
44,-200,-200,-200,10,-200,-200,-200,-200,-200,-200
45,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
46,-200,-200,-200,-200,-200,-200,-200,-200,10,-200
47,-200,-200,-200,-200,-200,7,-200,-200,-200,-200
48,-200,-200,-200,-200,11,-200,-200,-200,-200,-200
49,-200,10,14,-200,13,-200,-200,-200,13,9
50,-200,13,-200,-200,-200,-200,-200,-200,-200,-200
51,6,-200,-200,-200,-200,-200,-200,-200,-200,-200
52,3,-200,-200,8,-200,-200,9,9,-200,6
53,7,-200,-200,-200,-200,-200,-200,-200,10,-200
54,10,-200,-200,-200,10,10,-200,-200,-200,-200
55,-200,14,-200,15,3,13,-200,10,-200,-200
56,-200,-200,15,-200,-200,-200,11,-200,-200,-200
57,12,-200,-200,-200,-200,-200,9,10,-200,-200
58,8,-200,-200,-200,-200,-200,-200,10,15,-200
59,-200,-200,-200,9,-200,-200,-200,11,9,7
60,-200,8,-200,-200,9,-200,-200,-200,-200,-200
61,5,12,-200,11,6,-200,10,9,-200,-200
62,10,-200,-200,-200,11,5,-200,-200,-200,8
63,9,-200,9,-200,-200,-200,10,-200,7,11
64,-200,7,-200,5,-200,-200,8,11,7,8
65,8,-200,-200,9,-200,-200,9,-200,9,-200
66,10,7,-200,-200,9,8,9,-200,-200,11
67,9,5,9,10,9,8,8,-200,-200,-200
68,9,7,8,7,-200,-200,-200,9,-200,7
69,-200,-200,-200,-200,8,-200,-200,9,9,6
70,-200,9,8,11,12,-200,-200,-200,-200,-200
71,-200,9,3,6,-200,9,-200,5,-200,8
72,6,7,7,9,8,-200,13,7,13,-200
73,9,-200,10,10,11,-200,-200,-200,9,3
74,9,-200,8,10,8,-200,-200,7,11,-200
75,-200,8,-200,10,3,11,5,6,7,9
76,10,-200,10,-200,-200,10,7,11,-200,8
77,7,11,9,-200,-200,11,-200,-200,-200,9
78,-200,5,-200,9,-200,8,-200,-200,-200,-200
79,-200,11,-200,8,-200,9,7,11,-200,-200
80,-200,12,9,10,10,-200,8,-200,-200,-200
81,-200,6,-200,-200,-200,11,4,7,-200,-200
82,-200,8,14,-200,11,6,13,-200,9,-200
83,9,9,-200,7,-200,5,9,-200,-200,10
84,-200,-200,8,9,4,15,-200,-200,7,11
85,-200,11,-200,8,11,-200,11,5,12,3
