,reward
0,7
1,-200
2,8
3,-200
4,11
5,8
6,11
7,6
8,3
9,5
10,7
11,4
12,-200
13,-200
14,-200
15,-200
16,4
17,-200
18,-200
19,-200
20,-200
21,-200
22,-200
23,9
24,6
25,-200
26,6
27,6
28,9
29,-200
30,-200
31,-200
32,-200
33,-200
34,-200
35,6
36,5
37,2
38,4
39,6
40,10
41,-200
42,-200
43,14
44,2
45,-200
46,2
47,-200
48,2
49,4
50,-200
51,0
52,10
53,-200
54,4
55,6
56,-200
57,7
58,-200
59,7
60,11
61,-200
62,-200
63,6
64,3
65,8
66,-200
67,8
68,-200
69,11
70,7
71,-200
72,-200
73,-200
74,-200
75,7
76,-200
77,-200
78,5
79,-200
80,10
81,8
82,-200
83,7
84,-200
85,4
86,4
87,-200
88,5
89,-200
90,-200
91,7
92,-200
93,8
94,-200
95,8
96,-200
97,0
98,-200
99,7
100,-200
101,7
102,7
103,-200
104,-200
105,-200
106,5
107,9
108,9
109,4
110,-200
111,-200
112,-200
113,4
114,-200
115,-200
116,-200
117,6
118,6
119,-200
120,-200
121,5
122,9
123,-200
124,-200
125,7
126,9
127,-200
128,4
129,-200
130,-200
131,-200
132,14
133,6
134,4
135,5
136,6
137,7
138,-200
139,9
140,1
141,-200
142,-200
143,4
144,-200
145,-200
146,-200
147,7
148,5
149,-200
150,7
151,7
152,4
153,-200
154,-200
155,-200
156,11
157,8
158,-200
159,7
160,3
161,4
162,-200
163,-200
164,-200
165,-200
166,11
167,1
168,9
169,11
170,-200
171,-200
172,9
173,9
174,2
175,-200
176,5
177,6
178,4
179,-200
180,6
181,0
182,-200
183,-200
184,-200
185,-200
186,-200
187,-200
188,-200
189,4
190,12
191,-200
192,-200
193,-200
194,-200
195,5
196,9
197,4
198,6
199,3
200,-200
201,6
202,2
203,7
204,5
205,-200
206,4
207,6
208,-200
209,5
210,5
211,-200
212,13
213,-200
214,5
215,-200
216,-200
217,-200
218,-200
219,-200
220,9
221,5
222,-200
223,-200
224,-200
225,-200
226,8
227,-200
228,2
229,-200
230,4
231,-200
232,-200
233,7
234,-200
235,-200
