,reward
0,8
1,11
2,11
3,5
4,10
5,7
6,5
7,3
8,11
9,10
10,5
11,12
12,10
13,6
14,4
15,9
16,10
17,6
18,11
19,14
20,4
21,8
22,4
23,9
24,9
25,7
26,9
27,4
28,9
29,5
30,6
31,7
32,7
33,11
34,5
35,9
36,6
37,10
38,3
39,7
40,6
41,6
42,13
43,7
44,9
45,10
46,8
47,10
48,11
49,9
50,8
51,11
52,8
53,7
54,8
55,6
56,7
57,6
58,11
59,8
60,14
61,5
62,8
63,3
64,8
65,11
66,8
67,6
68,6
69,6
70,6
71,10
72,9
73,11
74,9
75,8
76,9
77,8
78,10
79,10
80,11
81,6
82,6
83,9
84,11
85,9
86,11
87,7
88,5
89,6
90,13
91,6
92,4
93,5
94,8
95,6
96,5
97,11
98,13
99,8
100,7
101,13
102,12
103,9
104,6
105,10
106,9
107,11
108,7
109,4
110,8
111,13
112,8
113,12
114,7
115,7
116,10
117,6
118,7
119,6
120,9
121,9
122,6
123,4
124,7
125,5
126,10
127,10
128,11
129,7
130,7
131,7
132,4
133,5
134,5
135,6
136,15
137,5
138,10
139,9
140,9
141,11
142,7
143,4
144,11
145,7
146,9
147,8
148,4
149,7
150,10
151,7
152,3
153,7
154,4
155,7
156,5
157,9
158,9
159,10
160,7
161,5
162,10
163,7
164,8
165,7
166,11
167,10
168,8
169,6
170,7
171,9
172,6
173,13
174,6
175,6
176,5
177,3
178,5
179,9
180,12
181,8
182,5
183,11
184,7
185,9
186,10
187,10
188,3
189,11
190,4
191,4
192,6
193,8
194,7
195,9
196,9
197,7
198,4
199,10
200,9
201,6
202,6
203,11
204,8
205,8
206,11
207,6
208,4
209,13
210,6
211,10
212,6
213,11
214,4
215,8
216,11
217,6
218,6
219,11
220,9
221,4
222,5
223,8
224,8
225,11
226,6
227,11
228,6
229,7
230,8
231,9
232,10
233,5
234,5
235,7
236,6
237,5
238,10
239,7
240,6
241,12
242,8
243,7
244,11
245,7
246,4
247,11
248,12
249,10
250,8
251,8
252,7
253,8
254,5
255,12
256,12
257,4
258,6
259,9
260,12
261,3
262,8
263,6
264,7
265,8
266,6
267,14
268,8
269,3
270,14
271,9
272,7
273,7
274,6
275,5
276,4
277,11
278,8
279,9
280,9
281,12
282,6
283,11
284,4
285,14
286,8
287,6
288,13
289,8
290,13
291,7
292,9
293,5
294,6
295,11
296,8
297,14
298,6
299,12
300,11
301,8
302,5
303,10
304,7
305,6
306,7
307,6
308,7
309,8
310,8
311,9
312,14
313,5
314,7
315,14
316,7
317,9
318,4
319,11
320,10
321,8
322,10
323,7
324,6
325,14
326,7
327,5
328,8
329,6
330,10
331,7
332,8
333,7
334,7
335,7
336,10
337,6
338,11
339,8
340,6
341,5
342,6
343,11
344,9
345,6
346,7
347,8
348,11
349,9
350,7
351,11
352,6
353,6
354,7
355,5
356,12
357,10
358,14
359,13
360,3
361,8
362,7
363,5
364,12
365,3
366,9
367,7
368,12
369,9
370,6
371,9
372,11
373,7
374,6
375,4
376,9
377,4
378,8
379,9
380,5
381,10
382,3
383,5
384,9
385,12
386,12
387,5
388,15
389,7
390,9
391,4
392,8
393,10
394,6
395,6
396,5
397,6
398,7
399,6
400,3
401,4
402,7
403,9
404,7
405,9
406,14
407,7
408,8
409,10
410,5
411,3
412,8
413,5
414,7
415,7
416,11
417,10
418,11
419,9
420,11
421,7
422,7
423,6
424,7
425,14
426,8
427,8
428,6
429,4
430,9
431,11
432,9
433,10
434,10
435,8
436,5
437,6
438,7
439,5
440,8
441,7
442,8
443,11
444,11
445,7
446,5
447,11
448,13
449,8
450,6
451,9
452,5
453,11
454,11
455,12
456,6
457,6
458,5
459,5
460,12
461,10
462,7
463,8
464,11
465,9
466,8
467,11
468,10
469,9
470,13
471,7
472,10
473,9
474,6
475,5
476,8
477,8
478,7
479,5
480,5
481,8
482,9
483,6
484,11
485,7
486,4
487,7
488,6
489,7
490,7
491,10
492,5
493,6
494,6
495,7
496,10
497,7
498,7
499,10
500,12
501,9
502,5
503,8
504,6
505,7
506,11
507,7
508,10
509,7
510,6
511,7
512,7
513,7
514,7
515,6
516,5
517,5
518,7
519,5
520,7
521,11
522,7
523,7
524,5
525,8
526,7
527,12
528,13
529,11
530,7
531,11
532,9
533,11
534,4
535,6
536,8
537,8
538,4
539,8
540,9
541,10
542,12
543,7
544,9
545,10
546,4
547,10
548,8
549,8
550,3
551,8
552,5
553,9
554,11
555,8
556,7
557,10
558,7
559,6
