,reward
0,-200
1,-200
2,-200
3,-200
4,14
5,-200
6,-200
7,-200
8,-200
9,6
10,-200
11,-200
12,-200
13,-200
14,-200
15,-200
16,-200
17,8
18,-200
19,12
20,-200
21,7
22,-200
23,-200
24,-200
25,7
26,-200
27,-200
28,-200
29,-200
30,-200
31,-200
32,10
33,-200
34,-200
35,-200
36,-200
37,9
38,-200
39,6
40,-200
41,-200
42,-200
43,-200
44,-200
45,-200
46,-200
47,-200
48,-200
49,8
50,-200
51,-200
52,-200
53,-200
54,-200
55,-200
56,-200
57,9
58,-200
59,-200
60,-200
61,-200
62,-200
63,7
64,-200
65,-200
66,-200
67,11
68,14
69,-200
70,-200
71,-200
72,-200
73,-200
74,-200
75,-200
76,-200
77,11
78,-200
79,7
80,-200
81,-200
82,-200
83,-200
84,-200
85,-200
86,-200
87,-200
88,-200
89,-200
90,-200
91,8
92,-200
93,-200
94,-200
95,-200
96,-200
97,-200
98,-200
99,-200
100,8
101,-200
102,-200
103,-200
104,-200
105,-200
106,-200
107,-200
108,14
109,8
110,-200
111,-200
112,-200
113,-200
114,-200
115,-200
116,-200
117,-200
118,8
119,9
120,9
121,-200
122,-200
123,-200
124,-200
125,8
126,-200
127,-200
128,-200
129,-200
130,-200
131,-200
132,-200
133,-200
134,-200
135,6
136,-200
137,-200
138,-200
139,-200
140,-200
141,-200
142,-200
143,-200
144,-200
145,-200
146,-200
147,-200
148,-200
149,-200
150,-200
151,9
152,-200
153,-200
154,-200
155,-200
156,-200
157,-200
158,-200
159,8
160,-200
161,-200
162,-200
163,12
164,-200
165,8
166,-200
167,10
168,-200
169,-200
170,-200
171,-200
172,-200
173,-200
174,-200
175,12
176,-200
177,-200
178,-200
179,-200
180,-200
181,14
182,-200
183,-200
184,-200
185,-200
186,-200
187,-200
188,-200
189,-200
190,-200
191,-200
192,-200
193,8
194,10
195,-200
196,-200
197,-200
198,-200
199,-200
200,-200
201,8
202,-200
203,-200
204,-200
205,-200
206,11
207,6
208,-200
209,-200
210,-200
211,-200
212,7
213,-200
214,-200
215,-200
216,-200
217,-200
218,-200
219,-200
220,-200
221,-200
222,-200
223,-200
224,-200
225,-200
226,-200
227,8
228,-200
229,-200
230,-200
231,-200
232,-200
233,-200
234,-200
235,12
236,10
237,-200
238,-200
239,-200
240,-200
241,-200
242,-200
243,-200
244,-200
245,7
246,6
247,-200
248,11
249,-200
250,9
251,-200
252,-200
253,-200
254,-200
255,-200
256,14
257,-200
258,-200
259,-200
260,-200
261,-200
262,-200
263,-200
264,-200
265,-200
266,-200
267,-200
268,-200
269,-200
270,-200
271,-200
272,-200
273,-200
274,11
275,-200
276,11
277,-200
278,-200
279,-200
280,8
281,7
282,-200
283,-200
284,-200
285,-200
286,9
287,-200
288,-200
289,6
290,-200
291,-200
292,-200
293,-200
294,-200
295,9
296,-200
297,-200
298,9
299,6
300,-200
301,-200
302,11
303,8
304,-200
305,-200
306,-200
307,9
308,8
309,-200
310,-200
311,-200
312,-200
313,-200
314,-200
315,-200
316,-200
317,-200
318,11
319,-200
320,-200
321,-200
322,-200
323,-200
324,-200
325,7
326,11
327,-200
328,-200
329,-200
330,-200
331,-200
332,-200
333,-200
334,-200
335,-200
336,-200
337,-200
338,-200
339,-200
340,-200
341,-200
342,-200
343,-200
344,6
345,-200
346,-200
347,-200
348,-200
349,-200
350,-200
351,-200
352,-200
353,-200
354,-200
355,-200
356,11
357,-200
358,-200
359,-200
360,-200
361,-200
362,-200
363,-200
364,-200
365,-200
366,-200
367,-200
368,-200
369,-200
370,-200
371,7
372,-200
373,-200
374,-200
375,-200
376,-200
377,-200
378,-200
379,-200
380,9
381,-200
382,-200
383,-200
384,9
385,-200
386,-200
387,-200
388,-200
389,-200
390,14
391,10
392,-200
393,-200
394,7
395,-200
