"","p1_depth","p2_depth","result","time","0","1","2","3","4","5","6","7","8","9"
0,1,1,"o",0.001354894999999967,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o x x o x","o xox o x","","",""
1,1,2,"o",0.003473725000000094,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o x x o x","o xox o x","","",""
2,1,3,"o",0.01308905199999999,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o x x o x","o xox o x","","",""
3,1,4,"o",0.05474145599999991,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o x x o x","o xox o x","","",""
4,1,5,"o",0.178928231,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o x x o x","o xox o x","","",""
5,1,6,"o",0.4537600719999999,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o x x o x","o xox o x","","",""
6,1,7,"o",0.7656278410000001,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o x x o x","o xox o x","","",""
7,1,8,"o",0.9409912710000001,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o x x o x","o xox o x","","",""
8,1,9,"o",0.9551427080000003,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o x x o x","o xox o x","","",""
9,2,1,"x",0.004085749999999777,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o xxx o  ","o xxx o o","o xxxxo o","",""
10,2,2,"draw",0.006496321000000194,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o xxx o  ","o xxxoo  ","o xxxoo x","ooxxxoo x","ooxxxooxx"
11,2,3,"draw",0.015895504999999588,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o xxx o  ","o xxxoo  ","o xxxoo x","ooxxxoo x","ooxxxooxx"
12,2,4,"draw",0.05449700299999982,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o xxx o  ","o xxxoo  ","o xxxoo x","ooxxxoo x","ooxxxooxx"
13,2,5,"draw",0.17782097100000005,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o xxx o  ","o xxxoo  ","o xxxoo x","ooxxxoo x","ooxxxooxx"
14,2,6,"draw",0.45574715600000015,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o xxx o  ","o xxxoo  ","o xxxoo x","ooxxxoo x","ooxxxooxx"
15,2,7,"draw",0.780802714,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o xxx o  ","o xxxoo  ","o xxxoo x","ooxxxoo x","ooxxxooxx"
16,2,8,"draw",0.95510801,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o xxx o  ","o xxxoo  ","o xxxoo x","ooxxxoo x","ooxxxooxx"
17,2,9,"draw",0.9538568510000003,"         ","    x    ","o   x    ","o x x    ","o x x o  ","o xxx o  ","o xxxoo  ","o xxxoo x","ooxxxoo x","ooxxxooxx"
18,3,1,"x",0.01979196899999991,"         ","    x    ","o   x    ","ox  x    ","oxo x    ","oxoxx    ","oxoxx o  ","oxoxxxo  ","",""
19,3,2,"o",0.022379091999999545,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","oxx x  o ","oxx x oo ","oxxxx oo ","oxxxx ooo",""
20,3,3,"o",0.031675252999999515,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","oxx x  o ","oxx x oo ","oxxxx oo ","oxxxx ooo",""
21,3,4,"o",0.07004382799999931,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","oxx x  o ","oxx x oo ","oxxxx oo ","oxxxx ooo",""
22,3,5,"o",0.19439505699999948,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","oxx x  o ","oxx x oo ","oxxxx oo ","oxxxx ooo",""
23,3,6,"o",0.4756578270000009,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","oxx x  o ","oxx x oo ","oxxxx oo ","oxxxx ooo",""
24,3,7,"o",0.7958743680000016,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","oxx x  o ","oxx x oo ","oxxxx oo ","oxxxx ooo",""
25,3,8,"o",0.9844583829999998,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","oxx x  o ","oxx x oo ","oxxxx oo ","oxxxx ooo",""
26,3,9,"o",1.0273131059999994,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","oxx x  o ","oxx x oo ","oxxxx oo ","oxxxx ooo",""
27,4,1,"x",0.1042849549999989,"         ","    x    ","o   x    ","ox  x    ","oxo x    ","oxoxx    ","oxoxx o  ","oxoxxxo  ","",""
28,4,2,"draw",0.15068688800000096,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox  x xo ","oxo x xo ","oxoxx xo ","oxoxxoxo ","oxoxxoxox"
29,4,3,"draw",0.14568762699999915,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox  x xo ","oxo x xo ","oxoxx xo ","oxoxxoxo ","oxoxxoxox"
30,4,4,"draw",0.21931032100000003,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox  x xo ","oxo x xo ","oxoxx xo ","oxoxxoxo ","oxoxxoxox"
31,4,5,"draw",0.6141219959999997,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox  x xo ","oxo x xo ","oxoxx xo ","oxoxxoxo ","oxoxxoxox"
32,4,6,"draw",1.1943590850000003,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox  x xo ","oxo x xo ","oxoxx xo ","oxoxxoxo ","oxoxxoxox"
33,4,7,"draw",1.3875656159999998,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox  x xo ","oxo x xo ","oxoxx xo ","oxoxxoxo ","oxoxxoxox"
34,4,8,"draw",1.9778869639999996,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox  x xo ","oxo x xo ","oxoxx xo ","oxoxxoxo ","oxoxxoxox"
35,4,9,"draw",1.567359941000003,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox  x xo ","oxo x xo ","oxoxx xo ","oxoxxoxo ","oxoxxoxox"
36,5,1,"x",0.5641564340000009,"         ","    x    ","o   x    ","ox  x    ","oxo x    ","oxoxx    ","oxoxx o  ","oxoxxxo  ","",""
37,5,2,"draw",0.4908184439999985,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox xx  o ","ox xxo o ","oxxxxo o ","oxxxxooo ","oxxxxooox"
38,5,3,"draw",0.5815796689999999,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox xx  o ","ox xxo o ","oxxxxo o ","oxxxxooo ","oxxxxooox"
39,5,4,"draw",0.7452773730000004,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox xx  o ","ox xxo o ","oxxxxo o ","oxxxxooo ","oxxxxooox"
40,5,5,"draw",0.8532461160000011,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox xx  o ","ox xxo o ","oxxxxo o ","oxxxxooo ","oxxxxooox"
41,5,6,"draw",0.9362716410000012,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox xx  o ","ox xxo o ","oxxxxo o ","oxxxxooo ","oxxxxooox"
42,5,7,"draw",1.211771958,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox xx  o ","ox xxo o ","oxxxxo o ","oxxxxooo ","oxxxxooox"
43,5,8,"draw",1.395448794,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox xx  o ","ox xxo o ","oxxxxo o ","oxxxxooo ","oxxxxooox"
44,5,9,"draw",1.4140724309999975,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox xx  o ","ox xxo o ","oxxxxo o ","oxxxxooo ","oxxxxooox"
45,6,1,"x",1.5958969430000032,"         ","    x    ","o   x    ","ox  x    ","oxo x    ","oxoxx    ","oxoxx o  ","oxoxxxo  ","",""
46,6,2,"draw",1.5540358320000003,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox xx  o ","ox xxo o ","oxxxxo o ","oxxxxooo ","oxxxxooox"
47,6,3,"draw",1.5582109299999978,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox xx  o ","ox xxo o ","oxxxxo o ","oxxxxooo ","oxxxxooox"
48,6,4,"draw",1.603456142000006,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox xx  o ","ox xxo o ","oxxxxo o ","oxxxxooo ","oxxxxooox"
49,6,5,"draw",1.7285714730000024,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox xx  o ","ox xxo o ","oxxxxo o ","oxxxxooo ","oxxxxooox"
50,6,6,"draw",2.004352167999997,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox xx  o ","ox xxo o ","oxxxxo o ","oxxxxooo ","oxxxxooox"
51,6,7,"draw",2.3887839150000048,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox xx  o ","ox xxo o ","oxxxxo o ","oxxxxooo ","oxxxxooox"
52,6,8,"draw",2.505653853999995,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox xx  o ","ox xxo o ","oxxxxo o ","oxxxxooo ","oxxxxooox"
53,6,9,"draw",2.5321502529999975,"         ","    x    ","o   x    ","ox  x    ","ox  x  o ","ox xx  o ","ox xxo o ","oxxxxo o ","oxxxxooo ","oxxxxooox"
