,results
0,4655.069738483223
1,10294.099204667713
2,2184.3318047792236
3,3745.4816695564164
4,101.83925019752884
5,466.36596044261734
6,158.17075564665873
7,9385.283274786905
8,176.6497093109104
9,2515.699574680088
10,8222.109206274195
11,6839.436676713988
12,31002.94868364442
13,3306.6094432301416
14,131.37911359736506
15,4670.422725474518
16,171.74533542102034
17,433.3609381398515
18,8731.866110686067
19,4606.652812765336
20,1818.0868734377298
21,12189.366226911961
22,60061.17685758207
23,29421.115580783167
24,5120.653253009625
25,2974.3720386422815
26,16154.009359769134
27,100.98588321688507
28,1422.3660729241062
29,2444.909243019027
30,10307.911389024073
31,10304.81358546882
32,1936.2406059691082
33,3369.3335936430963
34,1906.3504997385783
35,4544.654392191321
36,4329.380406061288
37,166.96428816296338
38,24149.814251067637
39,6275.752191698009
40,1141.0601669127966
41,8004.539061501523
42,2060.644421938194
43,5005.943639693193
44,189.50344011959896
45,4666.038057227773
46,1282.4135516714418
47,3098.1523579674435
48,23256.352293670818
49,14656.990763720252
50,39395.64816052604
51,1735.7632962596103
52,753.7062449785968
53,840.8371407803842
54,2577.676214011971
55,6941.824750845877
56,3207.213341611785
57,50542.413054629826
58,25005.734022029563
59,6389.389034151213
60,729.7623684999221
61,20622.134167898475
62,23080.261954115187
63,590.9309961178133
64,233.15861763198305
65,91022.18757807722
66,43709.0976658709
67,26094.948783323107
68,5406.289027759228
69,5892.4168625925295
70,104.76830994299631
71,103.31681981024761
72,3805.03958052215
73,4190.098406143098
74,893.7350225551145
75,41987.07850950289
76,7896.696419439542
77,165.34703738945223
78,2126.4691544997063
79,5089.812245726101
80,559.6494274686675
81,669.1445357316364
82,8947.123861925886
83,7700.299481732093
84,4852.841985071852
85,1288.0899095695936
86,144.57053691021477
87,38372.43514911085
88,24800.652299436468
89,5186.047102629073
90,2746.699839261329
91,83823.37891137479
92,212.03073421475298
93,369.03517629999925
94,140.2760153978184
95,27344.019080315524
96,911.7932549479225
97,5443.194881189334
98,15152.86086503544
99,1441.330152922817
