,results
0,2311760872.2512307
1,4471909371.130105
2,3832812755.5017133
3,3884604916.072796
4,2951135863.483575
5,4397151166.168243
6,4953046401.84665
7,2985094475.450733
8,3112299979.9974613
9,3247792762.9939566
10,3896252482.480557
11,1821538398.3843863
12,2708784409.9926496
13,4914733329.559407
14,4756501617.318289
15,4431809938.46317
16,3453931858.042767
17,4162590230.6172595
18,4569149865.331095
19,2675012020.54027
20,2179825973.0073433
21,1415937828.6109369
22,3293886824.3258057
23,4420715765.742216
24,1704288295.8073099
25,5117737783.975886
26,5213927976.612658
27,2058641029.723307
28,4402531077.406712
29,3924245529.8195558
30,1847415961.250031
31,4327594430.241731
32,4528112217.918384
33,4114930705.1242514
34,3056120545.9725575
35,2909059933.9463506
36,5558597597.937576
37,5331083462.056949
38,3696743581.7426233
39,3853875434.2493024
40,2052364735.7841215
41,3673047966.245319
42,3067468463.882479
43,3554358903.9467626
44,4737424220.603024
45,3203109007.968855
46,3434504369.575329
47,4489849829.435442
48,4229738520.2690763
49,3690083577.994292
50,4125225935.5225096
51,4594681375.41254
52,3670839469.8848166
53,2567973461.2024193
54,2627328329.0514026
55,2869392260.9268637
56,5251154613.7314415
57,3232479034.178341
58,4421063965.920672
59,1726334001.6972263
60,3693563224.4604545
61,3963854198.309172
62,4356962564.88377
63,4037573213.729864
64,4103519914.5343223
65,3750629972.8269916
66,3930468087.729944
67,5248385593.955818
68,3452104555.490562
69,4736842816.933175
70,2280693242.8351817
71,4369724206.961546
72,3107990824.9701705
73,5452066566.471874
74,2735569119.7898664
75,3246977756.441412
76,3850326889.3782463
77,3640999127.1421328
78,4265003110.88869
79,2735401106.9682703
80,5883624157.93551
81,4074446479.3377485
82,3417489464.858083
83,5239726242.849479
84,4755242900.6678295
85,5016302007.745192
86,5437105612.021824
87,4142587668.5933905
88,2790546567.7490067
89,4262124761.2127132
90,4104286954.2997785
91,4275439913.3707523
92,3476859706.7742314
93,4724887142.039459
94,4954974581.954932
95,4500129818.0609665
96,5781290520.508276
97,4848157390.970784
98,5062202741.316113
99,4962506273.015491
