,results
0,41043196663.23883
1,15170781370.391684
2,33814318274.46991
3,68804047818.51202
4,65786338244.31731
5,43826764472.984764
6,47537305823.23342
7,16599409950.079847
8,38441796657.78558
9,29874455818.398758
10,40156305471.200806
11,75209096812.29893
12,41140270833.76255
13,67426564490.98754
14,14300088099.502502
15,40585023729.415474
16,32493312657.772686
17,13605259918.19399
18,16085170601.084793
19,9354740834.367949
20,51799159272.54338
21,29124297403.855118
22,12423760326.189466
23,31234318295.142544
24,56096673486.51257
25,23936665153.056633
26,24818222796.351444
27,44423801162.08243
28,36257471401.96816
29,12725065872.798664
30,18486590207.129585
31,58464863775.32022
32,27288332844.10686
33,58115754917.284706
34,26432494316.317856
35,42995601910.534386
36,4244190205.1393313
37,18702911542.035385
38,63092921298.105484
39,28138906000.350777
40,26953298275.08955
41,44579241371.292725
42,44504444068.84153
43,84159258225.66837
44,28568808848.409393
45,15807200883.7136
46,18562856116.485874
47,75590880614.03355
48,13666528383.876442
49,15018405783.330172
50,28951049762.198997
51,48210158050.03065
52,28757569069.059563
53,14750041374.150068
54,34699614041.43961
55,30624816356.5885
56,27526375837.08084
57,13120773684.669096
58,34774948441.568275
59,21230857527.546062
60,36640642882.31345
61,80128946695.58789
62,36653611788.87945
63,32970844950.543663
64,23004206561.527176
65,25256913907.329796
66,28329199818.177177
67,33392128323.688213
68,19492561542.17164
69,38071860415.652985
70,35923962074.86882
71,18680789825.677006
72,20828309566.729557
73,15469436608.126554
74,65674993342.14371
75,20808428193.23557
76,23272529877.750248
77,27570172742.84864
78,40062307685.61525
79,30517167038.265057
80,68580882263.18614
81,12342671757.529379
82,18692774375.802437
83,24943768112.98728
84,16794223300.958372
85,24925059696.964172
86,15554157854.481718
87,72480421202.45166
88,34866650165.63344
89,15689494748.70446
90,21721948128.524853
91,33875814546.739586
92,27773036419.684727
93,26775296738.813362
94,7612871598.6765
95,36690143266.57255
96,35229716322.51716
97,25636787914.496758
98,19279869346.763283
99,40549070849.30719
