,results
0,903.0917655944287
1,902.5134093275416
2,902.0732997528918
3,902.3972309244267
4,902.4147078654769
5,902.0010704688876
6,902.5457024844628
7,901.7714810374722
8,901.5782746940781
9,902.3224413801447
10,902.4256901619343
11,901.2948556079599
12,901.9299891271858
13,902.0528864334817
14,902.8772050659347
15,903.1792123647923
16,901.9460091295115
17,901.7019011070391
18,901.6476136417937
19,902.5825810067329
20,901.586841010194
21,902.7912438292483
22,901.711109345975
23,902.491626109203
24,902.35078159199
25,902.0015294127494
26,901.3571446472546
27,901.8930517584816
28,901.9875584483676
29,902.6925660073559
30,902.1105707479966
31,901.928430979916
32,902.4559094332434
33,901.2788015135836
34,902.2844170132491
35,901.8496302425301
36,902.6883061064739
37,901.7390316245535
38,901.5879866500119
39,901.759602076132
40,902.1455278737265
41,902.0150163597918
42,902.2050926434993
43,901.752132039864
44,902.1472180216804
45,901.9995461376653
46,902.9627898271581
47,902.1916117187295
48,901.2788608114262
49,902.2784753654405
50,902.8794440448568
51,902.3914837770294
52,902.593753999534
53,902.0501443206929
54,901.6362284740919
55,901.5863440065106
56,902.1695537571767
57,902.8613419763117
58,902.5042324819761
59,902.1965834434384
60,902.491342521187
61,901.690588423782
62,902.7496057547664
63,902.2199504691417
64,901.4736032643601
65,901.0786982223445
66,902.1810540473477
67,902.6311214606163
68,901.9136622061773
69,901.5315919822582
70,901.8803170634156
71,902.3240297944117
72,902.3104974672735
73,901.8690461751717
74,902.5887890966347
75,902.4577293475899
76,901.56827004399
77,901.9851702819267
78,901.8460367199411
79,902.5389449615359
80,901.2454211903497
81,901.9316486434791
82,901.8578834155408
83,902.4653983184143
84,902.0866963891001
85,902.5944068122927
86,901.7450643286242
87,902.4644999320417
88,902.9043145617012
89,902.0691435022651
90,902.1525422379771
91,902.35846387481
92,901.3638288135949
93,902.3163900740454
94,902.0214996866973
95,901.5146541089733
96,901.8352714333845
97,901.9347183212383
98,902.0531437796467
99,902.2075729346419
