,results
0,923.57106940789
1,912.5520430532335
2,917.5581442187671
3,917.0407234103305
4,934.7856390407013
5,915.6859747141888
6,917.310716386939
7,924.8027260437905
8,918.0283485297011
9,927.2410157125408
10,914.7142192030934
11,915.8662759594354
12,920.0892136776412
13,922.4741851801499
14,922.7560618666447
15,932.8826763755314
16,917.2260898185222
17,919.9509650913818
18,937.0330710222886
19,914.4113580053488
20,924.599188822583
21,916.5159201693639
22,911.2768156654131
23,917.2932425541037
24,938.9092116897398
25,921.3686648129935
26,923.113598745899
27,907.6687481765978
28,937.7643980723943
29,919.5520051864968
30,931.6284976374718
31,952.8776912990252
32,910.013299405228
33,924.338102757252
34,923.1980487029692
35,911.8224739881063
36,920.2718495215777
37,938.9288846146239
38,938.8320296455462
39,928.3389482992976
40,922.211233534694
41,913.8577796888446
42,918.5882175604373
43,918.8170246314683
44,926.6326090796783
45,912.2065500119662
46,924.7042438533042
47,917.7970222845761
48,922.2904020221401
49,915.0179798909991
50,927.1385371804206
51,928.3602031704279
52,925.8343221082409
53,935.0531326420519
54,925.2021234567617
55,921.04066715276
56,920.3388385839636
57,921.022682441208
58,914.8462035115351
59,925.5536926899597
60,926.8956930489074
61,923.1580407948236
62,924.4082176342067
63,915.7859806947401
64,915.6103868284475
65,920.1465476354152
66,922.6304408321946
67,920.8794207734634
68,922.524447349886
69,940.6411560039242
70,922.2493140430672
71,926.0032803024131
72,914.2768435229158
73,927.223783281059
74,919.0600132856823
75,920.3674279442567
76,918.4761827076469
77,953.8413147759073
78,912.2735006430497
79,922.5709620518309
80,918.7355551253033
81,915.9621906007072
82,909.6841406047743
83,923.3531729120929
84,931.2496314663695
85,932.6246169309812
86,924.5503288902252
87,920.6427678174035
88,913.5400332282985
89,917.5363478633824
90,941.8277214406133
91,931.2829330886865
92,928.7495913692857
93,928.816197546899
94,923.4449115879075
95,917.7286219137019
96,924.2407021521107
97,928.7970923063392
98,913.9333074929389
99,917.6043336846204
