,results
0,902.44647117741
1,903.1604232386579
2,902.1964759647481
3,902.6789462569159
4,902.9947847753255
5,903.0769039723746
6,903.0161606790753
7,902.3100623287028
8,901.7559082407829
9,902.984918744708
10,902.9254511532201
11,902.7366911408822
12,901.9979236316096
13,902.931755589598
14,901.8482635039264
15,903.2179413801359
16,903.042653212726
17,903.5348397096284
18,901.637174030551
19,902.7587963474892
20,903.304442710672
21,902.1168365390076
22,902.6149528792657
23,903.0321480174844
24,902.4570949222317
25,902.6997429385019
26,902.025833065415
27,902.4208070865932
28,901.6078288519456
29,902.358939649427
30,902.6914688949682
31,902.5174391434427
32,902.0705974719496
33,902.5002068610436
34,903.372183311069
35,902.7146721382883
36,903.8175858048725
37,903.7976304197363
38,902.0201039714809
39,903.3423758864428
40,902.580659433703
41,903.0466251942123
42,901.1202247747339
43,902.9973369768437
44,903.1022634962246
45,903.3045216202638
46,902.9525642899652
47,903.6860519056149
48,903.0918558736811
49,902.0644836203742
50,902.9652845464215
51,902.395536680273
52,903.7547996161642
53,901.8749754254733
54,902.7638526065751
55,903.0551087524098
56,902.7256810400797
57,901.3204658914481
58,903.2613796913039
59,903.5740495395776
60,902.660681876536
61,901.4951799827215
62,902.8778200685497
63,901.6436692084096
64,902.3943185542606
65,902.1706485754415
66,904.2211337470621
67,901.4302906280334
68,903.4176209105561
69,902.4331778224595
70,903.1876043566241
71,902.608234239265
72,902.5272987453769
73,902.9036132339653
74,902.3080784428366
75,902.8767277706082
76,903.7172212593366
77,902.6353695204764
78,903.2216681195579
79,902.0242957424556
80,904.0510280125077
81,902.8408756128837
82,902.4943460239847
83,903.0523098889988
84,903.6159194885932
85,902.9087268745709
86,902.8493875556129
87,902.8730250687155
88,903.2614645000839
89,903.0589939800467
90,901.9586610498926
91,902.9309487636103
92,902.4249227446666
93,902.2410439586713
94,902.4800735054812
95,902.7929910272659
96,903.8249831198209
97,902.8506389136854
98,902.7897745915595
99,903.5833272066374
