,results
0,1426.7821969601007
1,1748.8763413577863
2,1168.3874869111405
3,1859.5032992135655
4,1117.3874107333413
5,900.5202639527458
6,1430.3517651143648
7,2852.130224177753
8,1626.0965562663814
9,2008.3774441774754
10,1351.9965927556127
11,1707.8015002340512
12,1074.8919095596175
13,1708.9919897176558
14,2264.2461117703815
15,1798.1389283862204
16,1088.4403745022178
17,1650.132562374653
18,1394.7581097853838
19,1163.986658443347
20,1414.8336868529877
21,1812.3625608453926
22,2884.4225570661547
23,1152.8816513590682
24,1526.4053981575428
25,1863.4187846619852
26,1155.5064532791203
27,1424.1724147971815
28,1550.068971438315
29,1323.9491245104125
30,1271.2823332826229
31,1622.522545929858
32,1993.6251267516393
33,1255.8926018052316
34,1339.7479162255067
35,1407.929294864742
36,1894.3308805300612
37,1436.2390371383708
38,1650.4590969112692
39,902.2699356133078
40,1456.1805124054242
41,1532.303338180084
42,1254.308728824872
43,1146.2703350725685
44,1378.1186992988419
45,2011.5491271653489
46,2178.661168793593
47,1674.3311777097178
48,2702.19204616796
49,1591.390518147714
50,1089.1419748160222
51,1508.6816042087569
52,1188.4450073343182
53,1628.8223476430467
54,2104.8839536031296
55,1677.9926198139704
56,1657.0726659964748
57,2415.9614447489867
58,1780.45289913021
59,1328.6813594544362
60,2517.3534774041555
61,2238.433706930213
62,1132.71405363451
63,1783.865542773381
64,1382.8694236917495
65,1686.9690266614452
66,1411.9898455428656
67,1082.164203768487
68,1925.4071730564945
69,1616.2099399402705
70,1047.361281600937
71,1731.6052060177535
72,1545.3423952863925
73,1615.4678135962436
74,1421.1977789827838
75,1776.786501248514
76,1782.008879593061
77,1489.0760569127156
78,1650.5054627660174
79,1057.6530024816395
80,1126.9661602781837
81,997.8658157632653
82,1182.6830311704548
83,2122.1753392843398
84,1294.7086802322556
85,1441.5876832151714
86,1055.0617586819285
87,958.6810990244626
88,1267.9750914697545
89,1856.6281485260808
90,1403.6584570333298
91,1970.5003782381864
92,1798.6766876910087
93,1560.8220898511263
94,1295.4555138709152
95,2326.2491687744828
96,1160.9217628052265
97,1152.9808795990646
98,1147.1935153342247
99,950.5363557691036
