,results
0,6593.7933614688745
1,719.5207605274826
2,7536.479191915244
3,6038.402567042812
4,148.01391482295148
5,611.1017238705532
6,3255.8981468003076
7,4082.7861709229505
8,918.7777087730832
9,1536.4487624236742
10,15791.479924480533
11,3461.6803121695048
12,11743.60415834133
13,5566.913858923201
14,115.8109717264025
15,9050.701817688816
16,12239.993954929347
17,1201.701305667223
18,12510.060105045799
19,3073.2371639597045
20,3697.924261454854
21,1029.176508382257
22,636.114878560751
23,10742.607224802283
24,8056.559885287422
25,8517.983231872377
26,2120.356283413106
27,11601.748507753144
28,719.3715214861159
29,1610.6783622543683
30,207.6465953854517
31,710.8388060039424
32,714.1756045743635
33,481.86261796135835
34,1086.5427753768458
35,2525.2392993781987
36,1171.5114677813733
37,822.8182563367247
38,552.1904332954405
39,16696.744785149425
40,161.9143419329759
41,5888.651739459654
42,10597.48859421874
43,5813.343677714318
44,178.95917449061673
45,4481.87752034569
46,110.8793679087191
47,3227.988103041603
48,1360.2791375062884
49,21486.99640759716
50,4826.146929370712
51,138.4994224240279
52,15632.329729925767
53,2918.361839980888
54,241.691900295784
55,4487.622798709509
56,1953.5108036934087
57,9247.30755370257
58,1753.5980793694496
59,13643.296353717742
60,12437.343321434068
61,7621.909230240911
62,990.1382510686875
63,1626.9620007577398
64,4253.1170843277
65,101.18767276209606
66,3188.2115928276303
67,2628.65048146812
68,1477.0536346084384
69,100.64169513081713
70,1716.142124666266
71,5049.858656505417
72,6774.961799908979
73,12449.296657642182
74,16966.985652545958
75,100.06493780415701
76,107.12048167721427
77,978.6364029130307
78,9374.110264432222
79,126.55676042446402
80,1470.9162568846027
81,12775.59647974489
82,100.65784022287185
83,544.3031994020381
84,123.31353423271085
85,2032.3437257813548
86,4573.167769952105
87,101.30128199658598
88,622.6586374161755
89,7145.2820313128095
90,607.7549032252384
91,705.510351454553
92,579.7783455423266
93,12275.962586604766
94,16974.0706618168
95,9867.086105543378
96,7598.188079642023
97,2799.9260048347037
98,5511.49753507308
99,179.9966143589202
100,774.2721795225144
101,186.08364266852234
102,22111.405240832744
