,results
0,100.02468953484235
1,2329.469744696741
2,601.5652232269128
3,1328.0005634377596
4,100.56930829170564
5,1605.203279125257
6,356.2604447361923
7,204.21762418458337
8,951.6416432149639
9,138.38191643489637
10,1715.8189027692215
11,1210.761320568696
12,2185.647014104732
13,3319.8455542083407
14,1797.103811760167
15,700.3014394471381
16,3608.8560895699256
17,188.46790408743624
18,4236.859641403743
19,2794.8376406757866
20,216.799243796933
21,434.7302318136354
22,3238.143877550771
23,5094.6055291727125
24,4844.19406588658
25,309.73520137952477
26,105.73050633644219
27,379.65175714970496
28,357.85693719086527
29,490.4648321428162
30,120.49671686696192
31,4066.3629395239504
32,1465.4910000907616
33,135.13807628348124
34,4958.29043049003
35,399.75109513378413
36,695.1493903242199
37,425.3485872922038
38,250.86817190379728
39,351.94507215993434
40,1124.9652944136856
41,960.3365104990263
42,334.9878996204783
43,264.02729347101285
44,3099.3607391554624
45,4732.348402427268
46,2941.3541454846463
47,3703.294982008741
48,2222.9665778978037
49,832.9191834684975
50,4402.979104410309
51,361.6135383705291
52,5252.2363708016555
53,336.8289880194677
54,207.45295798958747
55,1740.471952443765
56,184.26137847039251
57,4372.441011050745
58,1648.2872432624458
59,484.78531114572104
60,544.2411494467999
61,107.74583581084283
62,8742.080012302267
63,3786.2527588956873
64,278.66894811908475
65,901.9728324971819
66,3008.3766824668287
67,2433.150468746391
68,2200.186492818643
69,433.40695808799893
70,4628.956768599312
71,3503.7043167225956
72,142.66619057702835
73,3234.0793303819296
74,2657.1929042315605
75,892.1137851547901
76,669.6429771619598
77,245.04854450634684
78,1375.1697059390472
79,233.7506311267414
80,100.93080019133234
81,3461.4396824693517
82,7822.63069739123
83,1752.3303840778703
84,277.22679836807913
85,3145.7291148631793
86,279.4420242212341
87,914.5825886402597
88,929.0217120796739
89,169.7304783503718
90,100.35011610649003
91,2155.4119640266817
92,403.1172264393637
93,972.6332390309515
94,1320.6988213212853
95,540.307531482315
96,447.31721876682514
97,154.45569008593924
98,1598.928294726977
99,5575.188393724054
