,results
0,15763579233.91534
1,38938931583.64973
2,31194962932.06255
3,50050851914.18437
4,7830016407.292781
5,22938233084.905987
6,61461688157.71797
7,15280834060.88538
8,40652744096.31898
9,29656641903.63457
10,75885515501.39003
11,8447797629.018988
12,22492387957.16178
13,58355681141.95419
14,8808851670.36721
15,19206336805.668293
16,40611988007.77842
17,13908507806.10637
18,21692020862.606346
19,63826115035.19435
20,23564539217.407715
21,12686080059.30564
22,40382852526.222885
23,8213927893.924937
24,18690120007.930088
25,79793355715.89595
26,16551572037.286226
27,17196152809.105316
28,18193057498.091667
29,32954576768.440872
30,46018249796.650055
31,70667969322.53342
32,24252481130.21313
33,28744562480.809345
34,43571802538.74603
35,59897609505.65936
36,31386143429.514603
37,47675892076.58373
38,40704966154.342384
39,22933531523.73524
40,27513619788.770973
41,60795472272.6004
42,47222877445.05978
43,38738022241.48745
44,10277494276.906353
45,36704061346.503395
46,14878770230.504097
47,15716333410.171835
48,35891438520.265656
49,17226998562.0139
50,43101345143.83382
51,72518904626.85622
52,50123209633.40439
53,23671209516.75047
54,12706135180.42746
55,21989380082.805817
56,32748790030.934753
57,20808185349.47903
58,17208377516.909
59,30810117693.93175
60,19029181675.27602
61,47010226271.71653
62,33579007816.55381
63,32993808280.43864
64,25171124320.04088
65,24593007155.885258
66,20957490777.136616
67,32541447868.607815
68,15662355737.0471
69,43188578505.88517
70,13155166659.824377
71,32305533896.33194
72,20546042464.92601
73,23730872344.620003
74,43752872135.08696
75,44564005328.45876
76,13195265623.774443
77,61142037736.394684
78,17698271666.002396
79,16527647310.24506
80,53784486698.08796
81,19871595249.101982
82,21340776641.3381
83,11779852372.623524
84,41550908364.909836
85,49535996665.95611
86,25996146744.230446
87,22380187535.724846
88,38181859225.29892
89,51472815474.80932
90,17297264105.616585
91,54244801483.66029
92,56729712519.29879
93,8858426791.242098
94,27033807624.389194
95,7003013947.615796
96,35731931787.3034
97,24780747946.67629
98,32053235736.657482
99,36597535301.01571
