,results
0,2815413.873466924
1,7063.25359838274
2,108712.44654236479
3,1715955.574007641
4,1661.8892736835562
5,2654.198687453464
6,1439.1448970837257
7,5022502.068337429
8,97576.04849894412
9,7164.029870450979
10,76607.54956032202
11,25746.18871572282
12,11685064.67344289
13,184944710.85131016
14,337064.8964049719
15,15726.229512174476
16,122027.2473664335
17,33636313.05197443
18,25610250.397253577
19,876029.4146289729
20,126428.89283978927
21,4952293.468566006
22,154499488.3260044
23,741.4785924196458
24,813.0584071516765
25,9202.364052670455
26,32683.41694878366
27,3410.39662160661
28,12965.787273793123
29,469826311.4424869
30,3274.292659247972
31,479235.0244423885
32,1676955.0340306945
33,342665.8971195248
34,6975053.780725701
35,4656.88562090019
36,2351.5338146119484
37,169554541.86539564
38,13094.230599805494
39,4364437.278928695
40,1130.336052553371
41,287374.83294851636
42,53457545.41325718
43,111231.75597170067
44,696317.5855201671
45,20885.60127412273
46,244.07809557129707
47,53326298.44155055
48,75236.5189017714
49,13237.758345337177
50,379729.3204351239
51,3569.290470563901
52,123.03705110207213
53,5702.942425419635
54,32821282.167281497
55,606537.4730610569
56,9866.746778877552
57,264858.1790089752
58,1416.6593386970987
59,20956345.304223184
60,121844.37121893076
61,3450.6331495327627
62,108194.54621329127
63,1431.6901112478895
64,1548796.6241477795
65,278501.4724385141
66,6469.053299204538
67,79432.9700292126
68,42766415.228990324
69,10842.509128657875
70,11021.164314933216
71,5073.240747874689
72,1578.983988100804
73,246610.5684415828
74,3194.3845275302483
75,157940537.6175861
76,890277.4361931079
77,30459.870538033963
78,7449.107822271644
79,306712.2380291307
80,2244226317.9824123
81,45898433.36554377
82,19779.7761182518
83,2296459.6875520116
84,11601839.685115447
85,20456909.818603322
86,15232.631278528883
87,2694081.8844181965
88,321282.5372410052
89,186819.04212966538
90,775163.9841218509
91,57803.62715373652
92,6081.506092585156
93,129219860.66484527
94,1295976.6962920842
95,260.1605989215053
96,2490955.3032646044
97,24154459.153002433
98,25098.698143499892
99,697739.310330053
