,results
0,3336.6898370887006
1,373.25512987509177
2,646.1719404004837
3,873.197404370607
4,3808.411471583442
5,3182.423603525491
6,11386.067432856353
7,5171.240718558994
8,1248.662165384794
9,938.6776068018702
10,1690.401353433693
11,11359.874756547495
12,100.00173926810977
13,2403.6621445631654
14,1307.5204715241991
15,6517.303113244515
16,1786.728766245962
17,7397.899119160034
18,700.3654247566126
19,1401.132817522655
20,466.15472875421824
21,4213.157755666169
22,1573.2589891297205
23,295.1011116540925
24,9634.147795201043
25,341.5249751766846
26,795.8048016871218
27,2675.3274092079546
28,846.6880005353848
29,2193.579761867423
30,808.6696603071354
31,907.3893802825014
32,12006.787258251843
33,2935.191431948313
34,100.48860750039901
35,722.0980295310102
36,3809.1644503833395
37,105.73344892471698
38,1367.9212141003002
39,604.3547523506744
40,2332.263261853461
41,3079.2973437039022
42,11112.182316707913
43,769.8164391880837
44,210.71141640943125
45,2112.920613120008
46,102.99516591739821
47,1408.9375439011371
48,2718.4293434526785
49,3676.8618168447347
50,1434.1998704464243
51,1760.7748984204052
52,902.9143137136873
53,403.73816999975776
54,1118.0461411503352
55,4146.001758058932
56,1964.1983655367294
57,3831.5078010704337
58,641.0035992648205
59,3514.644336804901
60,8668.321477230493
61,207.85946732894604
62,12811.783164897794
63,4010.2415716973924
64,4592.180072530056
65,1354.6225480383036
66,942.1814039152092
67,1861.1259662567388
68,1088.934114817429
69,184.81343943807872
70,1260.6428183566045
71,6494.346928954198
72,6857.655460863747
73,8011.907305056307
74,4239.820118321725
75,563.4696572225862
76,5745.862197235452
77,1736.4186790632643
78,113.7262287857984
79,1736.701936069468
80,272.05035336907474
81,1245.375579497678
82,3234.3779607474917
83,168.52662217098884
84,7578.650010687839
85,6444.437944100493
86,5316.646215793735
87,3978.0186183346473
88,3606.3281810669505
89,7164.847150520744
90,1992.3157201255287
91,9818.449841163872
92,773.2754139477898
93,2617.845403082363
94,121.08704716103506
95,102.79638871912489
96,2506.233574702629
97,2078.2974000458057
98,159.83985915688976
99,3452.5489923991777
