,success,kernel,kernel_param,penalty_param,time,N,model_path,model_name,TP,TN,FP,FN
0,True,linear,,0.1,37.060779882,334,../models/linear_01_0.pkl,linear_01,90,23,16,37
1,True,linear,,0.1,41.337562426000005,334,../models/linear_01_1.pkl,linear_01,98,23,12,33
2,True,linear,,0.1,28.502445199999997,334,../models/linear_01_2.pkl,linear_01,104,26,8,28
3,True,linear,,10.0,121.34992215599999,334,../models/linear_10_0.pkl,linear_10,94,24,12,36
4,True,linear,,10.0,115.22435404999999,334,../models/linear_10_1.pkl,linear_10,98,22,12,34
5,True,linear,,10.0,158.42253951699996,334,../models/linear_10_2.pkl,linear_10,102,26,10,28
6,True,linear,,1000.0,529.511179376,334,../models/linear_001_0.pkl,linear_001,93,25,13,35
7,True,linear,,1000.0,540.3308767189999,334,../models/linear_001_1.pkl,linear_001,98,22,12,34
8,True,linear,,1000.0,664.3964073249997,334,../models/linear_001_2.pkl,linear_001,103,26,9,28
9,True,rbf,0.01,0.01,6.874513423999815,334,../models/rbf_001_001_0.pkl,rbf_001_001,78,30,28,30
10,True,rbf,0.01,0.01,5.656842234000123,334,../models/rbf_001_001_1.pkl,rbf_001_001,80,34,30,22
11,True,rbf,0.01,0.01,6.71760321299962,334,../models/rbf_001_001_2.pkl,rbf_001_001,94,36,18,18
12,True,rbf,0.01,1.0,6.7491182150001805,334,../models/rbf_1_001_0.pkl,rbf_1_001,64,49,42,11
13,True,rbf,0.01,1.0,5.009041887999956,334,../models/rbf_1_001_1.pkl,rbf_1_001,69,41,41,15
14,True,rbf,0.01,1.0,6.863656312999865,334,../models/rbf_1_001_2.pkl,rbf_1_001,77,45,35,9
15,True,rbf,0.01,inf,8.650961481000195,334,../models/rbf_inf_001_0.pkl,rbf_inf_001,64,48,42,12
16,True,rbf,0.01,inf,6.204080933000114,334,../models/rbf_inf_001_1.pkl,rbf_inf_001,69,41,41,15
17,True,rbf,0.01,inf,6.15826405200005,334,../models/rbf_inf_001_2.pkl,rbf_inf_001,77,45,35,9
18,True,rbf,0.001,0.01,6.612599630000204,334,../models/rbf_001_0001_0.pkl,rbf_001_0001,78,30,28,30
19,True,rbf,0.001,0.01,5.65556315799995,334,../models/rbf_001_0001_1.pkl,rbf_001_0001,80,34,30,22
20,True,rbf,0.001,0.01,6.482381349999741,334,../models/rbf_001_0001_2.pkl,rbf_001_0001,94,36,18,18
21,True,rbf,10.0,inf,2617.9339904490002,334,../models/rbf_inf_10_0.pkl,rbf_inf_10,71,30,35,30
22,True,rbf,10.0,inf,3237.6104324159996,334,../models/rbf_inf_10_1.pkl,rbf_inf_10,65,27,45,29
23,True,rbf,10.0,inf,3621.868065085,334,../models/rbf_inf_10_2.pkl,rbf_inf_10,54,37,58,17
